"file","subject","vl","time","age","gender","job","pmotiv","IMI_SK_1","IMI_SK_2","IMI_SK_3","IMI_SK_4","IMI_SK_5","IMI_SR_1","IMI_SR_2","IMI_SR_3","IMI_SR_4","IMI_SR_5","IMI_SR_6","IMI_SR_7","SVS1","SVS2","SVS3","Pinball","Pong","Snake","Tetris","ZahlenMerken","autonomie1","autonomie2","autonomie3","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","BuchstabenMerken","QuadrateErinnern","VisuelleAnordnung","MatheaufgabenLösen","boomshine","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","IMI_SK_5r","IMI_SR_2r","IMI_SR_6r","SMS5","SVS","ITW","IMI_SK","IMI_SR","game1","game2","game3","game4","game5","game6","gamesTotal","gamesFun","gamesWork","spielGefallen1","spielGefallen2","spielGefallen3","spielGefallen4","spielGefallen5","spielGefallen6","hits","total","BF"
85,"c4cb6wru0khvgwkr",2,"2023-12-21T16:53:37Z",33,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",2,0,2,0,3,2,2,1,2,4,0,0,2,2,2,1,NA,1,1,NA,0,3,1,2,5,1,5,0,3,4,1,2,3,2,NA,NA,NA,1,NA,1,1,4,3,3,3,4,6,1,2,3.333333333333333,1.4,2.71428571428571,7,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.3943073921502952
86,"08ge7aqhh23zz0yg",2,"2023-12-21T21:47:11Z",26,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,2,1,3,1,1,3,0,4,6,4,1,1,1,1,NA,2,1,0,0,2,2,3,2,4,4,4,2,2,2,NA,1,NA,NA,NA,4,3,1,3,3,3,5,3,2.2,4.66666666666667,2.833333333333333,0.6,2.14285714285714,2,NA,NA,NA,NA,NA,1,1,0,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.37733553351537946
87,"jrhgjj1xz8xt4mq8",2,"2023-12-22T15:08:14Z",26,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,2,3,2,2,1,0,8,7,8,NA,NA,NA,NA,1,3,1,1,1,4,1,5,0,4,4,3,1,1,2,NA,1,1,1,NA,2,1,2,4,3,2,4,5,1,7.66666666666667,3,0.4,2.57142857142857,0,NA,NA,NA,NA,NA,1,1,0,"Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.36160793750960185
88,"l6q959pq9dsfchna",2,"2023-12-22T15:19:23Z",26,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,2,3,3,2,1,1,0,8,7,8,NA,NA,NA,NA,1,3,1,1,1,5,1,5,0,4,4,3,1,1,1,NA,1,NA,NA,NA,1,1,2,4,4,3,3,5,0.8,7.66666666666667,3.166666666666667,0.6,2.28571428571429,7,5,NA,NA,NA,NA,2,0,2,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.3604503487959355
35,"zwb7x0tnwywpvt3v",1,"2023-12-22T16:26:29Z",21,"weiblich","Student:in","Ich tue jemandem einen Gefallen",2,1,2,1,2,2,1,3,2,2,1,2,4,5,6,NA,NA,NA,NA,1,4,3,2,1,3,3,4,2,3,4,1,1,4,1,NA,NA,NA,NA,NA,3,2,4,4,4,4,5,5,2.2,5,3.833333333333333,2,3,5,1,2,NA,NA,NA,3,2,1,"Es hat mir viel Spaß gemacht","Es hat mir wenig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,2,3,0.37743912540276336
89,"gluk3qtytabskhac",2,"2023-12-23T09:58:56Z",25,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,3,1,3,3,3,1,0,7,8,9,NA,1,1,1,NA,3,2,2,0,5,0,5,0,4,3,3,1,2,2,NA,1,NA,NA,NA,1,1,2,4,3,3,5,5,0.4,8,3,0.6,3.14285714285714,8,3,NA,NA,NA,NA,2,1,1,"Es hat mir sehr viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,1,2,0.37650444226049157
36,"a4gzdys1dkvkvq6y",1,"2023-12-23T12:40:23Z",21,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,4,0,4,3,0,4,4,2,1,2,8,6,8,NA,NA,1,1,NA,3,3,3,1,5,3,3,1,4,4,1,2,4,2,NA,NA,NA,NA,NA,1,3,4,3,3,2,6,5,1.8,7.33333333333333,3.666666666666667,1.2,3.71428571428571,0,4,NA,NA,NA,NA,2,2,0,"Es hat mir viel Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.3756401867941411
90,"utbmuo6caraqw9u3",2,"2023-12-23T15:44:10Z",26,"weiblich","Berufstätig","Ich möchte die Wissenschaft unterstützen",1,1,0,0,3,3,1,2,3,3,1,1,6,6,6,1,1,1,NA,NA,3,2,3,0,4,1,5,0,4,5,2,2,4,2,1,1,1,NA,1,2,1,3,3,3,3,5,5,0.8,6,3.666666666666667,1,3.14285714285714,2,7,0,3,NA,NA,4,3,1,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,NA,3,4,0.4180756635648802
91,"vg3glo94w61znz3s",2,"2023-12-24T09:36:32Z",27,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,1,3,2,2,1,0,6,7,6,NA,NA,NA,1,NA,3,2,3,3,4,3,4,1,3,3,2,2,2,2,NA,NA,NA,NA,NA,2,2,3,3,3,2,5,5,2.2,6.33333333333333,2.833333333333333,0.4,2.85714285714286,3,9,NA,NA,NA,NA,2,1,1,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,1,2,0.41753971130554857
92,"ougsw97v5k0wyzx8",2,"2023-12-24T13:53:05Z",28,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,3,3,1,2,3,2,2,0,8,9,9,1,1,1,1,1,1,1,0,0,0,0,6,0,1,1,3,1,3,4,1,1,1,NA,NA,6,0,2,4,1,3,5,4,1.2,8.66666666666667,2,0.6,2.71428571428571,0,NA,NA,NA,NA,NA,1,1,0,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.3988781804219596
93,"f1jnsqof8ghwsjf2",2,"2023-12-24T13:56:20Z",59,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,3,4,0,4,4,1,0,0,3,3,10,1,1,1,NA,NA,0,0,0,0,6,0,3,0,5,5,3,3,1,5,NA,NA,1,NA,1,0,3,2,2,0,3,6,6,0.6,5.33333333333333,2.5,0.6,3.57142857142857,5,NA,NA,NA,NA,NA,1,0,1,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.381637876240202
94,"4fgsmvepvotkq0nz",2,"2023-12-24T14:27:45Z",36,"männlich","Student:in","Ich interessiere mich für das Thema Spiele",0,0,0,1,4,4,0,4,3,3,1,2,7,6,8,1,1,1,1,NA,2,1,1,3,4,3,2,3,1,1,4,4,2,4,NA,NA,NA,NA,1,2,4,1,1,1,2,6,5,3,7,1.166666666666667,0.6,3.85714285714286,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.365669728591056
95,"hrqk7ot3s1adugjp",2,"2023-12-25T13:19:12Z",61,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",2,4,1,0,3,4,0,1,3,3,0,0,2,2,2,1,NA,NA,NA,1,4,4,4,1,1,1,0,0,4,5,4,0,4,1,1,NA,NA,1,NA,5,6,1,5,4,3,6,6,2.6,2,3.833333333333333,2,3.28571428571429,3,2,3,7,0,NA,5,4,1,"Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,4,5,0.42971657270824976
96,"gfnhygo7x66uap3o",2,"2023-12-25T22:53:37Z",30,"männlich","Student:in","Ich tue jemandem einen Gefallen",1,0,1,4,1,2,2,1,1,2,3,1,4,5,7,1,NA,NA,1,NA,0,0,0,6,0,5,5,0,5,3,3,3,2,2,NA,NA,NA,NA,NA,6,1,2,2,3,5,4,3,3.6,5.33333333333333,2.833333333333333,2.2,2,8,3,6,NA,NA,NA,3,1,2,"Es hat mir wenig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir wenig Spaß gemacht",NA,NA,NA,2,3,0.4511723135893134
97,"zfn861alzydgckjz",2,"2023-12-26T09:38:07Z",27,"männlich","Student:in","Ich tue jemandem einen Gefallen",3,2,1,3,2,2,3,2,1,2,2,1,6,5,7,1,1,1,NA,NA,4,3,3,6,3,3,3,3,4,2,3,1,3,1,1,NA,1,NA,NA,3,3,2,4,4,4,3,4,3.6,6,3.166666666666667,2.6,2.14285714285714,3,4,7,2,NA,NA,4,3,1,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir wenig Spaß gemacht",NA,NA,3,4,0.5011887028912914
98,"6u9f9rcetk6xap3t",2,"2023-12-26T15:57:27Z",24,"weiblich","Student:in","Ich möchte die Wissenschaft unterstützen",1,1,1,1,2,2,1,2,2,3,1,3,8,6,6,1,NA,NA,1,NA,2,2,1,2,4,2,5,0,3,3,4,2,1,1,NA,NA,NA,NA,NA,2,1,1,3,4,4,5,5,1.4,6.66666666666667,2.5,1.6,3.14285714285714,6,5,NA,NA,NA,NA,2,0,2,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.5014180812069678
99,"32d8jv0gsfvrtlyf",2,"2023-12-26T16:06:16Z",51,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",1,1,1,1,4,3,1,3,2,3,0,0,8,8,8,1,1,1,1,1,0,0,0,0,1,5,5,0,5,5,4,3,5,2,NA,NA,1,1,NA,5,1,1,2,3,2,5,6,2.2,8,3.5,1.2,3.14285714285714,2,NA,NA,NA,NA,NA,1,1,0,"Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.47770380690766145
100,"hrgrcfavehf92oee",2,"2023-12-26T16:23:24Z",31,"männlich","Berufstätig","Ich interessiere mich für das Thema Spiele",2,0,1,1,3,4,1,3,3,3,0,0,8,7,8,1,1,1,1,NA,1,1,2,2,4,0,0,0,4,3,1,4,3,4,NA,NA,NA,NA,NA,2,6,4,1,1,3,5,6,2,7.66666666666667,2.666666666666667,1.4,3.42857142857143,1,NA,NA,NA,NA,NA,1,1,0,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.45585109970482446
101,"2p2u3gdmfpspepj6",2,"2023-12-26T16:32:50Z",57,"weiblich","Berufstätig","Ich interessiere mich für das Thema Spiele",0,0,0,0,4,3,0,3,3,3,0,0,8,8,8,NA,NA,NA,NA,NA,4,1,0,0,5,0,5,0,0,1,1,4,3,5,NA,1,NA,NA,NA,1,1,4,1,0,2,6,6,0.4,8,1.5,0.4,3.42857142857143,7,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.435660910464515
102,"8h7q9emzolmsytfj",2,"2023-12-28T16:58:36Z",44,"weiblich","Selbstständig","Ich möchte die Wissenschaft unterstützen",0,0,0,0,4,2,0,2,2,4,0,0,8,8,8,NA,NA,NA,1,NA,4,0,0,0,6,1,2,0,2,0,1,1,4,1,NA,NA,NA,NA,NA,0,4,4,4,4,2,6,6,1,8,3,0.4,3.14285714285714,1,4,9,NA,NA,NA,3,2,1,"Es hat mir keinen Spaß gemacht","Es hat mir keinen Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,2,3,0.45742670117938566
103,"n4zmxqa593kt65ln",2,"2023-12-28T16:59:16Z",18,"männlich","Arbeitslos","Ich tue jemandem einen Gefallen",1,0,1,1,3,3,2,3,3,3,2,0,8,6,7,NA,1,NA,1,1,2,0,1,0,0,1,1,2,0,1,3,4,1,4,NA,NA,NA,1,1,6,5,2,1,1,3,4,4,2.8,7,1,1.2,2.85714285714286,3,1,NA,NA,NA,NA,2,2,0,"Es hat mir viel Spaß gemacht","Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,1,2,0.4575289704547993
104,"9y21kzzkez73ornw",2,"2023-12-28T17:02:31Z",27,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,1,3,3,3,1,2,8,8,10,1,1,1,1,NA,2,1,0,4,2,0,4,0,4,4,1,1,3,3,NA,NA,1,NA,NA,4,2,4,4,2,2,5,5,2,8.66666666666667,3.5,0.4,3.28571428571429,4,5,NA,NA,NA,NA,2,1,1,"Es hat mir sehr viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.45768081953195583
105,"5gheo9cyxr4pheyo",2,"2023-12-28T17:02:46Z",26,"weiblich","Berufstätig","Ich interessiere mich für das Thema Spiele",0,0,0,0,4,2,2,3,3,2,1,2,3,7,10,NA,NA,NA,1,NA,1,1,1,0,6,0,0,0,3,3,1,1,1,1,NA,NA,NA,NA,NA,0,6,4,4,4,2,4,5,1.2,6.66666666666667,3.166666666666667,0.4,3,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.43717794285016404
106,"sg2yzd9alagbr1gz",2,"2023-12-28T20:12:08Z",20,"männlich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,3,1,1,1,3,0,4,5,5,NA,1,NA,NA,NA,0,0,1,2,2,2,2,4,3,3,2,2,3,2,NA,NA,NA,NA,NA,4,4,3,3,3,2,3,3,3.2,4.66666666666667,3,0.4,1.42857142857143,7,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.41820889669420497
107,"xltznufp64aax1mf",2,"2023-12-29T11:34:55Z",29,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,2,3,2,2,2,0,3,3,5,1,1,1,1,NA,1,1,0,1,3,1,3,1,1,1,4,3,2,3,NA,NA,NA,NA,NA,3,3,1,2,2,2,4,4,1.8,3.66666666666667,1.5,0.4,2.57142857142857,8,5,NA,NA,NA,NA,2,0,2,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,1,2,0.4182005583892874
108,"mny76h446wxeg5uk",2,"2023-12-30T08:41:40Z",35,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,2,2,1,1,3,0,4,3,4,NA,1,1,1,1,2,1,1,0,3,3,2,3,1,2,3,3,1,4,1,1,1,1,NA,3,4,2,2,1,2,4,3,2.6,3.66666666666667,1.5,0.4,1.71428571428571,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4005288259673083
177,"xr0m2s7p49byk5ro",3,"2023-12-30T10:15:32Z",25,"divers","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,0,2,2,3,0,2,7,5,7,NA,NA,NA,NA,1,3,2,1,0,2,0,5,0,3,3,2,2,4,2,NA,NA,NA,NA,NA,4,1,3,3,3,2,6,6,1,6.33333333333333,3.166666666666667,0.4,3.42857142857143,6,1,NA,NA,NA,NA,2,1,1,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.4004793063874118
178,"u88n64nwwzmhra9y",3,"2023-12-30T10:49:33Z",18,"weiblich","Schüler:in","Ich möchte die Wissenschaft unterstützen",0,0,2,0,4,3,1,3,3,3,0,2,6,7,8,NA,NA,NA,1,1,3,3,3,0,1,1,3,0,3,3,4,2,3,4,1,NA,1,1,NA,5,3,1,3,1,2,5,6,1.8,7,2.333333333333333,0.8,3.57142857142857,1,6,NA,NA,NA,NA,2,1,1,"Es hat mir wenig Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.4004680798998395
179,"dz2necc5ymndt0z5",3,"2023-12-30T11:48:24Z",21,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,1,1,3,3,0,3,3,2,0,3,6,8,8,NA,NA,1,1,NA,1,0,2,0,0,0,4,0,3,4,4,3,3,2,NA,1,NA,NA,NA,6,2,1,2,3,3,6,6,1.6,7.33333333333333,2.666666666666667,1,3.71428571428571,7,7,8,0,NA,NA,4,1,3,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,3,4,0.4424480988375518
180,"fnl0talz4a6u3dzd",3,"2023-12-30T12:41:37Z",20,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,1,3,3,3,1,1,6,3,5,NA,NA,NA,1,1,3,3,1,0,5,0,5,0,3,3,2,2,3,3,NA,1,1,1,NA,1,1,3,3,2,2,5,5,0.4,4.66666666666667,2.833333333333333,0.4,3.28571428571429,6,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4231717639198829
181,"bl1a7ueqy7nz3g6v",3,"2023-12-30T15:33:57Z",27,"männlich","Student:in","Ich tue jemandem einen Gefallen",1,1,1,0,0,3,1,4,4,4,1,1,6,4,6,1,1,NA,1,NA,4,3,3,4,3,1,3,1,4,5,1,1,5,1,NA,NA,1,1,NA,3,3,4,4,4,6,5,5,2.4,5.33333333333333,4.333333333333333,1.8,3.71428571428571,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4052984487304262
182,"vpuk7ydh5hfc4jhy",3,"2023-12-30T19:15:39Z",23,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,2,2,2,0,1,2,3,1,0,7,5,8,NA,1,1,NA,1,1,0,1,6,4,6,4,4,5,5,1,0,5,1,1,NA,NA,NA,NA,2,2,4,5,4,4,6,5,4,6.66666666666667,4.666666666666667,1.2,2.71428571428571,0,8,NA,NA,NA,NA,2,1,1,"Es hat mir wenig Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.40539380716422374
183,"cs9gtlkdtt48kytk",3,"2023-12-31T06:43:36Z",50,"männlich","Selbstständig","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,2,0,1,1,3,0,9,8,10,1,NA,NA,NA,NA,2,1,0,0,6,0,4,0,0,0,4,4,0,4,NA,NA,NA,NA,NA,0,2,1,1,1,2,4,3,0.4,9,0.5,0.4,1.42857142857143,8,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.3887082845232264
37,"h0p4ph24xh58mdrv",1,"2023-12-31T10:10:28Z",14,"männlich","Schüler:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,1,3,2,1,1,3,0,2,0,4,1,1,1,1,NA,3,0,0,2,3,5,1,0,0,0,3,0,0,0,NA,NA,NA,1,NA,3,5,2,5,5,3,3,3,3,2,2,0.6,1.57142857142857,6,2,6,NA,NA,NA,3,1,2,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir keinen Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,2,3,0.407106729134634
184,"st3p7h7hfhpfpr93",3,"2023-12-31T12:30:54Z",33,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,1,1,4,3,1,3,3,2,0,0,7,8,8,NA,NA,1,NA,NA,1,3,4,0,1,1,5,5,0,1,1,2,1,1,NA,1,1,1,1,5,1,4,3,4,2,5,6,2.4,7.66666666666667,2.166666666666667,0.8,3.14285714285714,2,NA,NA,NA,NA,NA,1,1,0,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.3903261011771681
38,"a5s8chakh7mjgc7f",1,"2023-12-31T14:12:08Z",43,"weiblich","Berufstätig","Ich denke, dass ich Spaß haben werde",1,0,2,0,4,3,1,3,3,4,0,0,9,7,10,NA,NA,NA,NA,1,2,2,2,1,3,1,6,0,0,0,1,5,1,5,1,NA,NA,NA,NA,3,0,4,0,0,2,5,6,1,8.66666666666667,0.833333333333333,1,3.42857142857143,4,1,0,3,6,NA,5,4,1,"Es hat mir keinen Spaß gemacht","Es hat mir keinen Spaß gemacht","Es hat mir viel Spaß gemacht","Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,4,5,0.4527140431103925
109,"v11ldsy752jkszvc",2,"2023-12-31T19:13:01Z",27,"männlich","Student:in","Ich denke, dass ich Spaß haben werde",0,0,0,0,4,3,3,3,3,2,1,0,8,8,8,1,NA,1,1,NA,4,2,0,1,5,1,5,0,4,4,1,0,5,0,NA,NA,NA,NA,NA,1,1,4,5,5,2,3,5,0.8,8,4.5,0.4,2.71428571428571,6,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.43341266280134944
39,"fny1tfl4d0macjzd",1,"2023-12-31T21:31:18Z",21,"weiblich","Student:in","Ich denke, dass ich Spaß haben werde",0,0,0,0,3,3,0,4,3,3,0,1,8,8,9,1,NA,1,1,NA,0,0,4,0,6,0,6,0,3,2,2,2,3,2,1,NA,NA,NA,NA,0,0,3,3,3,3,6,6,0,8.33333333333333,2.833333333333333,0.6,3.71428571428571,9,7,NA,NA,NA,NA,2,0,2,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.4337437128114621
40,"ftdbbt3mgcww2cq0",1,"2023-12-31T21:46:36Z",13,"weiblich","Schüler:in","Ich tue jemandem einen Gefallen",1,1,1,1,2,3,1,2,2,3,2,2,5,7,5,NA,NA,1,NA,NA,2,2,2,3,3,3,2,4,2,4,1,1,4,2,NA,1,NA,NA,NA,3,4,4,4,3,4,5,4,3.4,5.66666666666667,3.5,1.6,3,5,7,0,0,NA,NA,4,2,2,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,NA,3,4,0.47817274062852055
110,"ddbs986txwmm6aru",2,"2024-01-01T10:22:17Z",38,"männlich","Berufstätig","Ich interessiere mich für das Thema Spiele",0,0,0,0,0,2,1,2,2,2,2,0,6,5,7,NA,1,1,NA,NA,3,3,3,4,4,4,5,1,0,1,4,4,1,4,NA,NA,NA,NA,1,2,1,1,1,1,6,5,4,2.4,6,0.833333333333333,1.2,2.42857142857143,2,NA,NA,NA,NA,NA,1,1,0,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.45724497185435087
111,"efv3njlcpw4335ef",2,"2024-01-01T10:33:28Z",67,"weiblich","nicht näher bezeichnet","Ich möchte die Wissenschaft unterstützen",0,0,4,1,3,2,2,2,2,3,2,0,8,7,8,NA,1,NA,1,1,2,0,1,0,1,2,3,4,0,0,4,2,2,4,1,NA,1,NA,NA,5,3,1,3,1,3,4,4,2.8,7.66666666666667,1.166666666666667,1.6,2.42857142857143,0,NA,NA,NA,NA,NA,1,1,0,"Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4378235339526635
41,"xefdmjknn87q8849",1,"2024-01-01T11:00:02Z",41,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,3,2,1,1,2,0,10,10,7,NA,NA,NA,1,NA,3,0,0,0,6,0,6,0,2,3,3,3,3,1,NA,NA,NA,NA,NA,0,0,2,2,4,2,3,4,0,9,2.666666666666667,0.4,1.71428571428571,3,NA,NA,NA,NA,NA,1,1,0,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.41976239953798417
42,"14xvoegupgbhg4vs",1,"2024-01-01T11:37:32Z",39,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,2,2,2,2,2,2,8,2,6,1,NA,NA,1,NA,4,0,0,1,2,0,4,3,4,4,1,0,2,1,NA,1,1,NA,1,4,2,4,5,4,2,4,4,2,5.33333333333333,3.833333333333333,0.4,2.42857142857143,1,NA,NA,NA,NA,NA,1,1,0,"Es hat mir keinen Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4029330994084123
43,"jptt60zrv9y3wk5m",1,"2024-01-01T19:08:03Z",46,"männlich","Berufstätig","Ich möchte die Wissenschaft unterstützen",0,0,0,0,4,4,4,3,3,3,0,2,9,1,9,NA,NA,1,1,1,3,4,2,0,6,0,6,0,1,4,4,5,0,5,NA,1,NA,1,NA,0,0,1,0,0,2,2,6,0,6.33333333333333,1,0.4,3.28571428571429,2,8,NA,NA,NA,NA,2,1,1,"Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,1,2,0.4031719067863913
44,"gvsfcerp2tybrgvd",1,"2024-01-01T19:25:34Z",14,"männlich","Schüler:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,2,1,3,3,2,2,3,6,3,9,NA,1,NA,NA,NA,1,2,0,3,4,5,1,5,4,3,2,3,2,2,NA,NA,NA,1,NA,2,5,3,2,3,3,5,4,4,6,2.833333333333333,0.6,3.14285714285714,5,0,NA,NA,NA,NA,2,1,1,"Es hat mir keinen Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.40343768097630905
185,"085am2exfpoo2ckk",3,"2024-01-02T11:08:46Z",25,"weiblich","Berufstätig","Ich denke, dass ich Spaß haben werde",1,0,0,0,3,3,1,3,3,3,0,1,8,8,8,NA,NA,NA,NA,NA,4,4,4,0,5,0,5,0,3,3,3,2,3,2,NA,NA,1,NA,NA,1,1,2,3,3,3,5,6,0.4,8,2.833333333333333,0.8,3.42857142857143,5,0,NA,NA,NA,NA,2,1,1,"Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,1,2,0.4037301229796172
112,"c0gpa07958rkf91p",2,"2024-01-02T13:37:52Z",24,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",1,0,2,1,4,3,1,3,3,3,1,1,7,8,6,1,1,1,1,NA,3,3,1,3,4,1,5,1,2,3,4,4,3,4,NA,NA,NA,NA,1,2,1,1,1,1,2,5,5,1.6,7,1.833333333333333,1.2,3.28571428571429,0,7,NA,NA,NA,NA,2,1,1,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.40404895116898265
45,"rjm1bnvknxs457hr",1,"2024-01-02T15:08:23Z",19,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,1,3,2,1,1,0,8,5,8,NA,1,1,1,1,3,0,0,0,4,0,5,0,3,3,4,3,1,4,1,NA,NA,NA,NA,2,1,1,2,1,2,5,5,0.6,7,1.833333333333333,0.4,2.71428571428571,7,NA,NA,NA,NA,NA,1,0,1,"Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.38803884139933414
