"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","BF"
140,"11/20/2017 16:13:36",6,1,22,1,4,5,5,5,4,4,4,5,4,4,5,3,4,4,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,3,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,"unbewusstsein",1.2,1.75,1.25,1.75,1.5,2,1.25,1.75,1.25,1.25,2,1.4,1.25,1.66666666666667,1.4,1.2,1.25,1.33333333333333,1.6,1,2.33333333333333,1.5,1.5,1.51904761904762,1.45740740740741,1.48822751322751,NA,0,0.7819923422799943
145,"11/20/2017 16:24:19",8,1,22,1,3,3,3,5,2,3,4,5,3,3,3,3,2,2,5,3,5,3,3,4,4,3,5,3,2,5,3,4,5,4,3,5,3,5,3,3,2,4,4,4,4,3,5,5,4,4,4,5,3,4,4,5,4,4,5,3,5,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,4,3,4,1,1,1,2,2,1,1,1,1,3,1,2,2,2,1,1,1,"in wieweit eine Partnerschaft einen glÃ¼cklich macht ?",2,1.5,2.5,3.25,2,3.5,1,2.5,3.25,2.75,3,1,1.75,2.33333333333333,1.8,1.2,1.25,3,1,1.5,2.66666666666667,1.25,1,2.30952380952381,1.62962962962963,1.96957671957672,NA,0,0.7938770912493788
146,"11/20/2017 16:56:11",4,1,21,1,5,4,4,4,4,3,4,5,5,5,5,2,4,4,4,5,4,2,5,5,5,4,5,2,5,5,4,4,5,5,3,2,4,5,5,4,1,5,4,5,4,3,4,1,4,5,5,4,5,5,5,5,4,5,5,3,1,1,1,1,1,2,3,3,2,1,3,2,4,1,1,1,2,1,1,4,3,1,2,1,2,1,1,2,2,1,2,2,2,2,5,1,2,1,"Angstforschung, negative Emotionen, Ekel, Wunschdenken",4.2,1,1,1.75,1.5,1.5,1.25,1.5,2.75,1.75,3,1.6,1.75,1.66666666666667,2.2,2,1.25,1.66666666666667,1.4,2,4,1,1.5,1.87261904761905,1.89074074074074,1.88167989417989,NA,0,0.775333186499945
148,"11/20/2017 16:56:41",2,1,21,1,3,5,5,4,3,5,5,5,4,2,2,1,2,3,5,3,1,2,3,4,4,3,3,2,2,1,2,3,4,5,1,5,2,2,2,4,5,4,3,3,2,3,3,5,2,5,4,3,3,3,4,4,4,4,3,2,5,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,4,2,4,1,1,3,1,1,1," ",1,1.25,3,2,2,3.5,3.5,2.75,4,2.5,4,2.4,3.75,3.33333333333333,1,1.2,1,1.33333333333333,2,1.75,2,1,2.5,2.78452380952381,1.53148148148148,2.15800264550265,NA,0,0.7614549297715625
149,"11/20/2017 16:56:47",5,1,26,1,5,5,3,4,4,2,5,4,3,5,2,2,5,3,2,2,5,5,5,5,5,4,2,4,4,1,4,5,3,2,1,2,5,2,4,4,5,2,5,2,5,5,2,5,5,4,5,3,4,3,5,4,5,1,3,5,5,1,1,1,2,1,1,2,1,1,1,1,3,1,3,1,1,1,1,5,1,1,2,2,1,1,1,1,3,1,1,1,4,1,2,1,1,1,"Bewertung der WÃ¶rter aufgrund der Emotionen, die die Bilder auslÃ¶sen",1.6,2.5,3.75,2.75,1,2,3.5,1,1,2.25,2,3.6,1,4.66666666666667,2.6,1,1,1,1.8,1.25,2,1.5,1,2.3297619047619,1.46111111111111,1.89543650793651,NA,0,0.7547947016062015
154,"11/20/2017 16:58:12",4,1,25,1,4,3,3,4,3,4,4,5,4,4,4,3,3,2,4,4,3,4,4,3,5,5,3,2,3,4,3,4,5,3,3,2,3,4,5,4,2,4,5,4,4,3,4,1,3,2,4,3,3,4,4,3,3,4,5,4,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2,4,3,3,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,3,"Zusammenhang der Schnelligkeit beim weiterdrÃ¼cken der Bilder im letzten Teil mit emotionaler Verfassung.",4.2,2.75,2,2.75,1.75,3,1.75,2,2.5,1.5,3,2.2,2.75,2.33333333333333,1.6,1.4,1.75,2.33333333333333,1.6,1,2,1.5,2,2.46309523809524,1.68703703703704,2.07506613756614,NA,0,0.7540254295147872
155,"11/20/2017 16:58:43",5,1,40,1,4,5,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,5,5,5,4,4,4,1,2,2,3,3,4,4,3,4,3,2,4,2,5,5,5,3,3,3,4,5,5,4,5,4,4,4,4,4,5,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,"Emotionen erregen",1.2,2,2,2.5,2.25,3,3,1.25,2,1.75,3.5,2,1.75,2.66666666666667,1,1,1.5,1.33333333333333,1.2,1,1.33333333333333,1,1,2.2047619047619,1.15185185185185,1.67830687830688,NA,0,0.7480475256072603
166,"11/23/2017 8:49:57",5,2,18,3,4,3,2,4,3,4,4,5,3,4,4,2,4,3,4,4,5,4,4,4,4,4,5,3,2,5,3,4,5,3,5,4,5,5,4,4,1,4,3,4,4,4,5,3,4,4,4,3,4,4,3,4,2,5,4,4,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,3,2,4,2,1,2,2,3,2,2,2,1,2,2,4,2,2,1,2,1,"ZusammenhÃ¤nge zwischen PersÃ¶nlichkeit und Emotionen zu finden",3.4,2,2,3,2.25,3,1.5,2.75,1.75,2,2.75,1.6,1.75,1.33333333333333,2.2,1.2,1.5,2.33333333333333,1.6,1.75,2.33333333333333,1.25,1.5,2.2202380952381,1.74074074074074,1.98048941798942,NA,0,0.742316856714746
168,"11/23/2017 8:50:11",6,1,26,1,4,3,4,5,3,4,5,5,4,5,3,5,4,4,3,4,5,5,4,5,4,4,4,5,3,4,3,4,4,3,4,2,4,4,5,5,1,4,5,4,4,4,3,1,4,5,5,3,3,4,4,3,5,5,4,4,1,2,1,1,1,1,2,1,1,1,1,1,4,1,2,1,4,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,3,1,2,1,1,2,"Einordnung der eigenen Person in Bezug auf das soziale GefÃ¼ge und Test wie mit schnell unangenehmen Situationen (Bildern) ausgewichen wurde.",4.4,2,2.25,1.75,1.75,3,1.75,1.5,1.75,1.5,1.25,2.6,1.5,1.66666666666667,2.4,1.4,1,1,1.8,1,2.66666666666667,1.25,1,2.04761904761905,1.50185185185185,1.77473544973545,NA,0,0.7308894058210973
171,"11/23/2017 8:51:01",2,2,19,1,5,5,5,5,3,5,4,4,3,5,2,1,4,3,5,3,5,4,4,5,5,4,5,2,3,4,3,5,5,5,1,5,5,5,5,3,5,2,4,3,5,5,5,5,5,5,5,4,4,3,4,5,3,4,4,4,5,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,"selbstwertgefÃ¼hl und den status einer beziehung festzustellen.",1,1.25,3.5,2.5,1.5,2.75,1.5,2,1.75,1.25,2.75,1.2,1,3.33333333333333,1,1,1.25,1.66666666666667,1,1.5,1.66666666666667,1,1,1.94880952380952,1.23148148148148,1.5901455026455,NA,0,0.7510224599528734
174,"11/23/2017 8:52:12",7,1,20,1,4,5,5,4,3,4,4,3,5,5,3,4,2,4,2,3,4,5,5,4,4,5,4,4,3,3,2,4,3,5,1,5,4,5,5,5,5,4,5,3,3,3,3,5,5,5,5,4,4,5,4,5,3,2,4,4,5,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,3,2,1,1,2,2,1,1,2,1,3,1,1,1,"EinflÃ¼sse von GefÃ¼hlen auf die Psyche, wie Bilder und Worte das GemÃ¼t beeinflussen",1,1.5,2.25,1.25,2,3,2,1.75,2.25,1.25,2,2.8,2,4,1.2,1,1.25,1.33333333333333,1.2,1.75,1.66666666666667,1.25,1.75,2.075,1.37777777777778,1.72638888888889,NA,0,0.7247394353661715
175,"11/23/2017 8:52:41",6,1,20,4,1,5,5,5,3,2,5,4,4,2,5,3,2,5,2,4,5,2,4,5,5,3,4,4,4,5,4,5,3,4,5,2,3,3,4,5,1,5,2,4,5,5,3,2,5,5,3,3,3,5,4,4,1,5,2,2,1,1,1,2,1,1,1,3,1,1,1,1,3,2,1,1,3,1,1,5,2,1,2,1,1,3,1,3,3,1,1,1,2,1,1,1,1,1,"HerbstgefÃ¼hle natÃ¼rlich?!<br>Wie wir Beziehungen zu anderen Menschen einschÃ¤tzen/empfinden (v.a. im romantischen Bereich)",3.8,1.75,1.25,1.25,1.25,2.5,2.25,4,3.75,3,2.5,3,1,1.33333333333333,2.6,1,1.75,1,1.4,2.25,2,1,1,2.33095238095238,1.55555555555556,1.94325396825397,NA,0,0.7149240442811997
177,"11/23/2017 9:28:25",8,1,23,1,4,1,3,5,3,5,4,4,2,5,5,3,4,3,5,5,4,4,5,4,5,4,3,5,4,4,5,4,4,2,1,2,3,3,5,4,1,4,5,4,4,3,3,1,2,3,5,4,4,5,5,3,3,4,5,5,2,1,2,2,1,1,2,1,1,3,1,1,3,1,1,1,1,1,1,3,3,1,2,1,1,2,1,2,1,1,2,1,3,1,1,1,1,1,"Emotionen, MitgefÃ¼hl zu beobachten",4.6,3,1.25,3,1.5,2,1.75,1.75,2,1.25,2,2.2,2.5,3,2.4,1.2,1.5,1.33333333333333,1,1.25,2.33333333333333,1.25,1,2.27142857142857,1.47407407407407,1.87275132275132,NA,0,0.7141629418756952
178,"11/23/2017 9:28:34",5,2,23,1,3,5,2,4,3,4,4,3,5,4,4,2,3,4,3,4,5,5,3,4,5,4,4,3,4,4,4,4,3,5,3,3,4,3,4,4,4,3,4,3,5,4,3,4,5,5,4,3,3,5,4,5,4,4,3,5,5,2,1,1,2,1,1,2,2,1,1,2,2,3,2,2,3,1,3,1,2,1,1,2,3,1,2,2,2,1,3,2,3,1,1,2,2,2,"Ich denke, dass die Studie sich ein Bild Ã¼ber meinen emotionalen Zustand machen will.",1.8,1.5,2,2.25,1.75,2.5,2.5,2.5,1.75,2,2.75,2.8,1.25,2.66666666666667,1.8,1.4,1.25,2.33333333333333,2,2.5,1.66666666666667,1.5,1.75,2.14404761904762,1.8,1.97202380952381,NA,0,0.7095223657804781
186,"11/23/2017 10:26:06",8,1,20,1,4,4,4,4,3,4,4,3,4,4,4,2,4,3,3,4,4,4,4,5,4,4,2,3,4,4,3,3,3,3,2,2,4,4,4,3,1,3,4,4,4,4,3,4,4,3,4,3,4,4,3,3,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,3,2,3,2,2,2,2,2,2,1,2,2,1,1,4,2,2,1,1,1,"Leute im Zusammenhang mit ihrem intimen Leben zu untersuchen",3.6,3,2.25,2.5,2.5,2.5,2.25,2.25,2,2,2.75,3.2,1.75,2.66666666666667,2,1.2,1.25,2,1.4,1.5,2.33333333333333,1.75,1.75,2.51547619047619,1.68703703703704,2.10125661375661,NA,0,0.7327622744943268
190,"11/23/2017 10:27:49",7,2,19,1,4,3,3,4,3,4,5,4,3,4,3,3,4,3,4,3,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,4,5,5,4,5,2,3,5,4,5,5,5,3,5,5,5,4,4,4,4,5,4,3,5,5,2,1,2,1,1,1,1,1,2,3,1,1,2,2,2,1,3,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,3,2,2,1,1,1,"In AbhÃ¤ngigkeit der grundsaÃ¤tzlichen Stimmung eines VP. den Grad des Ekels bei den letzten Bildern zu messen",3.2,1.25,2.75,2.5,1.25,2.25,1.25,1.5,1.25,1.5,1.75,1.6,1.25,2,2.6,1,1.25,2,1.2,1.5,2,1.5,1.5,1.80714285714286,1.61666666666667,1.71190476190476,NA,0,0.7605712879506012
192,"11/23/2017 10:46:02",7,1,24,1,5,2,3,5,4,3,4,3,4,4,3,2,4,2,2,3,5,5,5,5,5,5,2,5,3,2,4,5,2,3,2,1,5,5,4,5,1,2,4,2,4,4,2,2,5,5,5,2,4,4,4,4,4,4,4,5,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,2,2,3,4,1,2,2,1,2,1,2,2,4,1,2,1,1,2,"Irgendwas mit Emotionen",4.6,2.25,3,2.5,1.5,2.25,2,1.5,1.25,1.75,2.25,4,1.25,3.33333333333333,2.4,1,1.25,1.66666666666667,2.2,1.25,2,1.75,1.25,2.38809523809524,1.64074074074074,2.01441798941799,NA,0,0.8006302500226224
194,"11/23/2017 10:46:47",2,2,24,1,4,3,4,4,4,4,5,5,4,5,4,4,4,3,4,4,5,4,4,4,5,3,3,3,4,3,3,5,4,2,2,5,4,4,4,3,1,5,4,3,4,4,3,2,5,3,5,3,4,5,5,4,3,4,4,4,5,1,1,1,1,1,1,4,1,1,1,3,3,2,2,3,1,1,2,2,2,1,3,1,4,1,2,4,4,2,3,4,3,2,1,1,1,1," ",2.8,2.5,1.5,2.5,1,2.25,2.25,2.25,2,2,2,2.6,1.5,3,2,1,1,2.33333333333333,2.2,3.5,2,1.75,2,2.15357142857143,1.97592592592593,2.06474867724868,NA,0,0.7281799643217776
195,"11/23/2017 10:55:30",5,1,20,1,5,5,4,5,1,4,5,5,4,3,3,1,5,3,4,4,5,4,5,5,5,2,5,3,4,2,4,5,4,5,2,2,5,4,2,5,1,2,5,4,5,4,3,2,5,5,5,3,4,4,5,5,4,3,5,5,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,3,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,"Emotionen in Bezug auf zwischenmenschliche Beziehungen zu erforschen",3.8,1,2.75,2,1,2.75,2,1.25,1.25,2.75,3.25,2.2,1,3,1.4,1,1,1.66666666666667,1.2,1,1.66666666666667,1.75,1,2.14285714285714,1.29814814814815,1.72050264550265,NA,0,0.7244584527962437
207,"11/27/2017 15:53:35",7,1,22,1,4,4,4,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,5,4,4,4,4,3,3,4,3,4,4,3,5,3,4,4,4,4,1,4,4,4,4,3,2,1,4,3,2,3,3,4,3,3,4,4,4,4,1,2,1,1,1,1,1,2,3,2,2,2,2,2,1,2,1,1,3,3,3,1,1,1,3,2,1,2,1,1,2,2,3,1,3,1,1,1,"GefÃ¼hle auf Bilder zu entwickeln",4,3,2,2.5,2.25,3,2,1.75,2,2.75,2.75,2.8,2.25,1.66666666666667,2,1.4,1.25,2,1.2,2.25,2.66666666666667,1.25,1.75,2.4797619047619,1.75185185185185,2.11580687830688,NA,0,0.7537380730871608
208,"11/27/2017 15:53:36",3,2,28,1,2,3,3,5,3,5,5,5,5,5,5,1,3,5,5,5,5,3,2,3,5,3,5,5,2,5,2,5,5,5,3,1,3,5,5,5,1,5,3,5,3,3,5,1,3,5,5,5,4,5,5,5,3,5,5,3,1,1,1,2,1,3,1,3,3,1,1,5,1,2,5,5,3,1,1,3,4,3,3,1,1,5,5,1,1,2,1,1,1,1,5,1,1,1,"Zusammenhang zwischen Dauer der Betrachtung von unangenehmen Bildern bis zur Weiterschaltung in AbhÃ¤ngigkeit der zuvor nur betrachteten Bilder.",4.6,1,1,1.5,1,3.25,1,3.5,3,1.5,2.5,1,2.5,1.66666666666667,2.2,1,2.75,1,1,1.75,3.33333333333333,3.5,3.75,2.07261904761905,2.2537037037037,2.16316137566138,NA,0,0.7140946330594227
210,"11/27/2017 15:53:40",4,1,19,1,3,4,4,5,4,4,5,5,5,3,5,3,4,2,4,5,3,5,5,5,5,4,4,2,4,5,4,5,5,5,4,4,4,4,5,5,1,4,5,4,4,4,3,1,4,5,3,3,5,5,5,5,4,3,5,5,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,"Selbstzufriedenheit und allgemeines Wohlbefinden",3.8,1,1.25,2,1,1.75,1.25,1.75,1.5,2,3,2.2,2,2.33333333333333,1.2,1,1.25,1.33333333333333,1,1.25,1.66666666666667,1,1.25,1.91666666666667,1.21666666666667,1.56666666666667,NA,0,0.6978080086160567
