"file","language","subject","vl","time","condition","BLLS_1","BLLS_2","BLLS_3","BLLS_4","BLLS_5","BLLS_6","BLLS_7","BLLS_8","BLLS_9","BLLS_10","BLLS_11","BLLS_12","BLLS_13","BLLS_14","BLLS_15","BLLS_16","GWAL_1","GWAL_2","GWAL_3","GWAL_4","GWAL_5","GWAL_6","Gewinnen","Naturgesetze","Realitaet","age","gender","bildung","taetigkeit","hits","GeneralLuck","PersonalLuckiness","GWAL","handaufsherz","ungewoehnlich","timeChoice","timeBLLS","correct_1","correct_2","correct_3","correct_4","correct_5","correct_6","correct_7","correct_8","correct_9","correct_10","correct_11","correct_12","correct_13","correct_14","correct_15","correct_16","correct_17","correct_18","correct_19","correct_20","qbit_1","qbit_2","qbit_3","qbit_4","qbit_5","qbit_6","qbit_7","qbit_8","qbit_9","qbit_10","qbit_11","qbit_12","qbit_13","qbit_14","qbit_15","qbit_16","qbit_17","qbit_18","qbit_19","qbit_20","hits5","hits10","hits15","hits20"
1106,0,"d51g3zxlwn3tbos6",4,"2024-03-20T04:35:02Z","lucky",4,4,4,4,4,4,4,4,3,4,1,2,0,4,4,4,0,0,0,5,0,0,3,4,5,22,"male","Fach- oder Hochschulreife (Abitur)","Student/in",12,3.666666666666667,3.5,0.833333333333333,"Ja","Vllt ist der Münzwurf so programmiert, dass die aktuelle Münze die letzte Entscheidung repräsentiert",1185,109818,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,63,79,5,30,62,1,67,49,78,14,40,95,69,50,16,68,5,22,36,4,2,3,3,4
1107,0,"r894ku3sdrxzyxzx",4,"2024-03-20T07:39:46Z","unlucky",2,4,1,3,1,3,3,1,4,2,1,1,4,2,3,1,0,0,0,0,0,0,4,4,3,21,"female","Fach- oder Hochschulreife (Abitur)","Student/in",5,2.333333333333333,1.5,0,"Ja","Nein",2672.6,125988,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,82,45,20,55,17,93,56,20,9,47,69,40,55,4,48,72,90,51,63,94,2,2,1,0
2,0,"zc94ntk5rd72tg9s",NA,"2024-03-20T15:28:50Z","lucky",1,2,4,2,2,4,2,3,2,1,3,2,2,4,2,2,0,1,0,0,0,0,1,4,5,40,"female","Fach- oder Hochschulabschluss","Berufstätig",10,1.666666666666667,3.333333333333333,0.166666666666667,"Ja","Exakt das statistische Mittel getroffen, bei nur 20 Mal ""raten"" / werfen, uiuiui! Na hauptsache Sie machen das nicht auch bei der Studie so - mit 20 Teilnehmenden dann eine felsenfeste Aussage zu treffen bzw. das zu behaupten. ;-)",1009.05,61911,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,18,40,41,5,28,72,78,21,77,13,64,83,94,5,80,69,4,82,0,66,5,2,1,2
1219,0,"m7fxhh1rju304mfq",5,"2024-03-20T18:23:37Z","lucky",3,4,2,4,0,4,3,2,4,1,4,2,3,3,3,2,1,3,2,1,3,3,1,4,4,21,"male","Fach- oder Hochschulreife (Abitur)","Student/in",12,2.666666666666667,2.833333333333333,2.166666666666667,"Ja",NA,1783.75,153788,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,37,69,57,33,51,84,12,33,32,61,50,88,21,94,60,34,25,37,83,86,4,3,2,3
1108,0,"v203gwg5t7kqzdws",4,"2024-03-20T19:05:45Z","lucky",4,4,2,4,0,2,3,1,3,3,0,4,4,1,3,1,0,1,1,4,2,3,4,4,4,20,"female","Fach- oder Hochschulreife (Abitur)","Auszubildende/r",13,3.5,1.166666666666667,1.833333333333333,"Ja",NA,4150.1,95365,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,99,78,63,37,50,35,16,25,25,79,38,52,68,28,29,46,48,93,94,2,2,4,4,3
1109,0,"ly4m56qm3zfwxcux",4,"2024-03-20T22:05:13Z","lucky",3,3,4,4,1,3,1,3,2,2,3,2,3,4,1,4,2,2,1,2,3,3,1,1,3,19,"female","Fach- oder Hochschulreife (Abitur)","Student/in",15,2.166666666666667,3.5,2.166666666666667,"Ja",NA,1225.25,130701,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,56,36,33,94,92,43,28,10,10,20,36,85,26,35,38,48,43,97,65,7,3,5,4,3
953,0,"bl010mlnubhqt0fd",3,"2024-03-21T09:25:23Z","lucky",3,2,1,3,1,2,3,1,2,2,3,3,3,1,2,1,1,1,2,3,3,2,2,2,4,25,"female","Anderes","Berufstätig",13,2.666666666666667,1.5,2,"Ja",NA,2569.85,62398,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,16,62,15,71,19,35,85,98,59,50,60,41,59,8,22,53,67,87,27,59,3,3,4,3
954,0,"69guhyt2qckl1mkj",3,"2024-03-21T09:32:44Z","unlucky",3,4,4,4,1,4,3,4,4,2,4,4,3,4,4,4,1,1,0,1,1,4,1,5,5,27,"female","Fach- oder Hochschulreife (Abitur)","Student/in",10,3.333333333333333,4,1.333333333333333,"Ja",NA,1697.4,81450,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,41,79,57,2,0,74,93,26,41,44,27,8,80,4,86,24,33,7,24,75,2,1,3,4
955,0,"kp42bb3lksqv6cpx",3,"2024-03-21T10:31:17Z","unlucky",2,4,4,2,1,4,2,4,3,3,4,1,3,3,3,3,0,1,2,1,3,1,NA,NA,NA,83,"female","Fach- oder Hochschulabschluss","Rentner/in",9,2.166666666666667,3.666666666666667,1.333333333333333,"Ja","Ich finde die Frage, ob ich die Realität beeinflussen kann, sehr missverstandlich.",5360.5,179476,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,28,51,31,99,44,19,56,3,8,55,80,18,81,76,23,72,2,1,63,43,2,3,2,2
956,0,"tqx0m9y46os8j50y",3,"2024-03-21T12:26:13Z","lucky",2,3,3,2,0,3,2,3,3,1,4,2,2,3,2,3,1,2,1,1,2,1,2,4,3,27,"female","Fach- oder Hochschulabschluss","Berufstätig",14,1.833333333333333,3.166666666666667,1.333333333333333,"Ja","Beim Farbtest wurde mir nichts angezeigt, es war nur schwarz. ",1349.85,52607,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,20,75,5,76,54,85,25,38,56,12,11,5,94,42,0,87,8,16,81,19,3,4,4,3
3,1,"abwbt6585fq1j9ll",NA,"2024-03-21T16:13:27Z","lucky",0,4,4,0,1,4,0,0,4,0,0,0,4,4,0,0,0,0,0,0,1,0,2,4,4,21,"male","University degree","Student",12,0,2,0.166666666666667,"Yes",NA,1159.85,31625,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,62,71,93,26,47,53,94,11,22,89,56,86,64,55,9,33,0,34,86,18,2,3,3,4
4,1,"pt0psb6yhpypk3zv",NA,"2024-03-21T16:15:10Z","lucky",1,2,4,3,1,2,2,1,3,1,1,2,3,3,2,1,1,1,0,0,3,0,2,4,3,40,"female","University degree","Employed",13,1.833333333333333,2,0.833333333333333,"Yes","I am unsure whether the random number generator was actually random, because I got a suspicious number of wins by simply guessing the pattern heads, tails, heads, tails, etc. Heads also seemed to come up more frequently than tails, most of my losses were when I guessed tails.
I suspect the study is about comparing a person's belief in luck to their behavior during the random toss and whether it varied depending on their wins and losses. Also whether their number of wins affected their overall beliefs in the justice of the world.",4848.25,68204,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,24,19,22,96,55,79,59,91,97,38,20,60,19,36,32,7,9,79,67,41,4,2,4,3
5,0,"vhm6jkwsgv4esbjs",NA,"2024-03-21T16:24:09Z","lucky",2,3,3,3,1,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,5,41,"female","Fach- oder Hochschulreife (Abitur)","Berufstätig",12,2.666666666666667,3,2.833333333333333,"Ja",NA,4308.35,67963,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,74,23,37,83,17,24,54,42,36,2,21,62,73,42,71,30,61,91,21,76,3,5,2,2
6,1,"ppjaofznlzzo4v2z",NA,"2024-03-21T16:26:13Z","unlucky",3,4,2,4,3,0,2,2,3,3,3,4,4,2,1,2,1,4,2,3,4,2,5,4,4,27,"female","University degree","Employed",6,2.833333333333333,1.833333333333333,2.666666666666667,"Yes",NA,1193.55,97698,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,96,51,63,75,63,27,14,34,7,90,26,85,44,55,90,51,37,44,84,69,0,4,1,1
7,1,"yzsta820p0bd55b0",NA,"2024-03-21T16:37:14Z","lucky",1,3,2,2,2,2,1,2,3,2,1,2,3,2,2,1,0,0,2,1,2,0,1,4,2,21,"female","Vocational training","Employed",12,1.666666666666667,1.666666666666667,0.833333333333333,"Yes","I won the coin toss game more than I anticipated, but I don't think that really means anything.",900.6,49989,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,36,31,80,96,10,59,28,43,90,43,3,81,92,17,40,91,70,18,45,73,3,4,3,2
8,1,"m4t25tg22tbskvwx",NA,"2024-03-21T16:50:02Z","unlucky",1,4,2,0,0,2,0,2,3,0,2,1,4,2,0,2,1,1,0,1,3,0,1,5,1,24,"female","University degree","Student",8,0.333333333333333,2,1,"Yes","A lot of the questions seemed to be very similar or almost identical",1393.3,50978,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,81,34,32,78,45,51,48,1,0,17,36,51,39,44,65,55,58,76,53,35,2,3,2,1
957,0,"17g95fte1cdr4d9b",3,"2024-03-21T17:47:14Z","unlucky",1,4,4,1,1,4,1,2,4,0,2,0,4,4,0,2,0,0,1,0,1,1,1,4,3,24,"female","Fach- oder Hochschulabschluss","Berufstätig",5,0.5,3,0.5,"Ja",NA,1250.55,56624,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,92,35,4,95,44,68,89,41,28,83,39,65,57,81,43,60,72,41,11,70,2,1,1,1
958,0,"ya50qj18pufbzle7",3,"2024-03-21T17:47:50Z","unlucky",4,2,4,4,0,4,3,3,2,1,3,4,3,3,4,3,1,4,2,4,5,2,1,2,3,33,"female","Anderes","Berufstätig",4,3.333333333333333,3.333333333333333,3,"Ja","Nur weil ich beim Münzspiel nicht Gewinne bedeutet nicht das ich mir nicht Zeit genommen habe, es nach besten Wissen und Gewissen auszufüllen ",3798.35,150753,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,83,47,62,25,91,70,57,62,25,12,87,17,66,63,77,48,89,40,89,1,1,2,0
959,0,"686h8qnzq92y9xy6",3,"2024-03-21T17:56:39Z","unlucky",3,4,4,4,0,4,4,2,4,2,2,2,2,0,0,2,0,0,3,3,0,3,1,3,5,57,"female","Abgeschlossene Berufsausbildung","Berufstätig",8,2.5,2.333333333333333,1.5,"Ja","Nein",1782.65,119208,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,36,55,65,87,13,95,15,19,0,42,30,52,4,68,92,19,97,89,43,48,2,3,2,1
961,0,"nhubwsypaz8fcxe7",3,"2024-03-21T18:09:02Z","lucky",4,4,4,4,0,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4,5,5,3,NA,NA,83,"male","Abgeschlossene Berufsausbildung","Rentner/in",12,3,4,4.333333333333333,"Ja","Nein, äußerst interessant. Habe konsequent auf Kopf gesetzt (weils schöner aussieht)",3393.65,83793,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,95,0,38,69,85,99,59,58,17,51,96,39,70,35,92,84,7,36,32,26,2,4,2,4
1220,0,"gwavp59p412qxrwg",5,"2024-03-21T18:20:02Z","lucky",1,3,4,3,0,4,1,0,4,3,4,2,4,3,2,1,0,0,0,0,1,1,1,5,4,54,"female","Fach- oder Hochschulabschluss","Berufstätig",13,2,2.666666666666667,0.333333333333333,"Ja",NA,3531.65,319396,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,39,10,37,20,55,72,21,92,64,45,12,43,66,93,57,58,46,6,64,79,5,2,3,3
9,1,"l06x70bas9lt1rue",NA,"2024-03-21T19:09:23Z","lucky",3,3,2,4,1,1,3,2,3,4,0,3,3,1,2,1,3,3,2,3,1,2,1,5,4,26,"female","University degree","Student",10,3.166666666666667,1.166666666666667,2.333333333333333,"Yes","No",1086.55,59997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7,36,96,84,95,88,32,89,17,49,35,11,20,65,46,66,59,82,95,70,2,3,4,1
962,0,"jg3py3oldztx0qqd",3,"2024-03-21T19:14:38Z","unlucky",1,3,3,1,2,2,1,2,3,1,2,1,3,3,1,2,2,2,2,2,2,2,1,5,4,61,"male","Abgeschlossene Berufsausbildung","Berufstätig",6,1,2.333333333333333,2,"Ja","Im zweiten Teil der Befragung gab es keine neutrale Bewertungsmöglichkeit, fand ich irritierend und falsch.",2285.8,490597,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,67,77,56,63,0,41,74,42,23,99,74,35,98,50,4,3,53,61,7,63,1,1,2,2
963,0,"txszrqot9fqzqdqq",3,"2024-03-21T19:39:37Z","lucky",4,4,4,4,0,4,4,4,4,1,4,4,4,4,1,4,2,0,4,0,4,4,1,4,5,44,"female","Abgeschlossene Berufsausbildung","Berufstätig",13,3,4,2.333333333333333,"Ja","Es fühlte sich seltsam gemischt an. Einerseits die Fragen nach Glück und Pech, das Glücksspiel (das mir viel zu lange dauerte) und dann Naturgesetze?!? Viel Erfolg auf jeden Fall :-)",1097.5,42000,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,90,71,16,22,3,54,94,81,10,47,51,1,46,63,87,67,49,43,49,54,3,3,3,4
964,0,"espzxecg1smc9w7s",3,"2024-03-21T19:48:13Z","unlucky",3,2,1,3,2,1,1,1,4,4,0,3,3,1,1,1,1,2,4,0,3,2,5,5,4,32,"male","Fach- oder Hochschulabschluss","Berufstätig",4,2.5,0.833333333333333,2,"Ja",NA,1701.4,104993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,94,76,40,87,56,85,80,32,90,73,73,67,84,93,57,33,38,33,52,58,0,1,0,3
10,1,"uztm5roxsra9gywp",NA,"2024-03-21T20:09:49Z","lucky",0,4,4,0,0,2,0,3,3,0,3,1,3,4,0,3,1,0,0,0,4,3,2,1,4,23,"other","General qualification for university entrance","Employed",15,0.166666666666667,3.166666666666667,1.333333333333333,"Yes","It seems like you're aiming at the relationship between belief and luck and the just world hypothesis",1300.6,45459,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,32,8,41,7,55,75,53,19,20,16,92,95,39,21,29,91,40,85,37,12,5,4,3,3
11,1,"11z8jhqrl4ok81bl",NA,"2024-03-21T20:36:01Z","lucky",3,2,1,3,3,2,2,2,3,2,2,3,2,3,3,2,1,1,2,3,1,2,2,4,3,34,"female","University degree","Student",12,2.666666666666667,2,1.666666666666667,"Yes",NA,1531.05,54265,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,63,45,97,5,76,61,36,95,55,76,47,22,4,22,47,26,86,28,65,3,2,4,3
965,0,"pow50ttvcmv8h4sd",3,"2024-03-21T20:45:11Z","unlucky",3,4,4,4,0,4,3,2,4,2,4,3,4,4,0,3,5,2,1,3,3,1,4,4,5,24,"female","Fach- oder Hochschulreife (Abitur)","Student/in",11,2.5,3.5,2.5,"Ja",NA,1542.45,150898,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,23,59,25,87,50,40,9,57,49,21,20,15,28,78,6,40,36,73,29,7,2,2,4,3
966,0,"g6adzc38k2d4r2k5",3,"2024-03-21T20:58:49Z","lucky",2,4,4,3,1,4,2,2,4,4,4,3,4,4,4,3,3,5,4,5,0,1,5,5,5,21,"male","Fach- oder Hochschulabschluss","Student/in",12,3,3.5,3,"Ja","Ich finde den Inhalt der Studie und auch die Produktion sehr interessant. Am meisten hat mich die ""Glaubst du, dass du deine Realität verändern kannst?""-Frage bewegt. Ich bin fest überzeugt, dass das jeder kann. Man entscheidet sich zwar nicht bewusst dazu, was man erlebt, allerdings sehr wohl, wie man es erlebt. Perception is reality",1392.15,77747,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,48,10,18,29,38,68,94,76,60,34,38,60,52,63,48,85,43,51,41,89,5,1,3,3
12,0,"vf02sp4pw345jqfr",NA,"2024-03-21T21:01:36Z","unlucky",3,2,3,2,1,1,2,2,3,3,1,2,1,3,0,0,4,4,1,5,5,3,1,3,5,31,"female","Fach- oder Hochschulabschluss","Berufstätig",5,2,1.666666666666667,3.666666666666667,"Ja",NA,1507.75,58746,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,53,57,46,86,84,64,12,74,16,80,22,92,32,98,81,96,50,23,70,50,0,2,2,1
