"file","language","subject","vl","time","condition","BLLS_1","BLLS_2","BLLS_3","BLLS_4","BLLS_5","BLLS_6","BLLS_7","BLLS_8","BLLS_9","BLLS_10","BLLS_11","BLLS_12","BLLS_13","BLLS_14","BLLS_15","BLLS_16","chance1","chance2","chance3","chance4","chance5","influence1","influence2","influence3","influence4","Alltag","Kenntnis","Aktivitäten","Ausbildung","Strategie","StrategieText","Roulette","input0","input1","input2","input3","input4","input5","input6","input7","input8","input9","input10","input11","input12","input13","input14","input15","input16","input17","input18","input19","age","gender","bildung","taetigkeit","hits","GeneralLuck","PersonalLuckiness","handaufsherz","ungewoehnlich","timeChoice","timeBLLS","correct_1","correct_2","correct_3","correct_4","correct_5","correct_6","correct_7","correct_8","correct_9","correct_10","correct_11","correct_12","correct_13","correct_14","correct_15","correct_16","correct_17","correct_18","correct_19","correct_20","qbit_1","qbit_2","qbit_3","qbit_4","qbit_5","qbit_6","qbit_7","qbit_8","qbit_9","qbit_10","qbit_11","qbit_12","qbit_13","qbit_14","qbit_15","qbit_16","qbit_17","qbit_18","qbit_19","qbit_20","BF"
849,0,"9uqso4odrtql6lq4",12,"2024-06-07T12:26:53Z","lucky",1,0,3,3,0,4,1,1,0,3,1,2,4,3,3,1,1,0,0,4,1,1,3,3,3,2,3,1,"Gymnasialniveau","Nein",NA,"beide sind gleich wahrscheinlich",0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,23,"male","Fach- oder Hochschulabschluss","Berufstätig",17,2.166666666666667,2.166666666666667,"Ja","Der Kontext zwischen Farbe und der Frage nach dem Glauben an Glück, Pech oder Zufall ergibt m.M.n keinen Sinn. Außer es soll der „Zufall“ der möglichen Fragen verdeutlichen und, dass die Frage nach der Farbe rein zufällig gewählt wurde. Man hätte quasi auch fragen können, wie sehr man Pizza mag und es hätte keinen Unterschied gemacht. ",2147.35,131377,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,5,49,26,57,68,85,11,60,51,49,42,40,17,10,1,58,19,45,46,0.7254627679342412
850,0,"3kp8srkcy20qn1ks",12,"2024-06-07T12:27:14Z","lucky",0,3,2,0,2,2,0,2,3,2,2,1,4,2,2,2,0,0,0,4,2,0,0,0,0,3,5,3,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"beide sind gleich wahrscheinlich",0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,19,"male","Fach- oder Hochschulreife (Abitur)","Student/in",12,0.833333333333333,2,"Ja","Besonders im ersten Teil haben sich Fragen wiederholt außerdem fand ich den Münzwurf Versuch sehr merkwürdig da nicht klar war wann es vorbei war.",1861.85,74270,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,33,13,26,33,62,27,91,19,73,57,48,55,78,7,80,8,79,85,30,62,0.7167727084855348
851,0,"6b0kvkjlba4os6ds",12,"2024-06-07T12:27:40Z","lucky",0,4,2,2,0,2,2,2,4,2,2,1,4,2,1,2,4,0,0,4,2,2,2,2,0,4,5,1,"Gymnasialniveau","Ja","Immer Kopf. Statistisch gesehen 50/50. kam auch heraus","beide sind gleich wahrscheinlich",0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,22,"male","Fach- oder Hochschulreife (Abitur)","Student/in",10,1.333333333333333,2,"Ja",NA,1151.2,30837,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,67,43,72,92,23,74,3,90,75,50,60,33,80,66,3,31,28,98,7,19,0.7666812337273057
852,0,"4w9jxoaf3tb7cy1v",12,"2024-06-07T12:28:17Z","lucky",1,4,3,2,1,3,2,3,4,3,3,1,4,3,2,3,2,2,3,3,3,3,1,1,1,4,2,2,"Gymnasialniveau","Nein",NA,"beide sind gleich wahrscheinlich",0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,21,"male","Fach- oder Hochschulreife (Abitur)","Student/in",10,1.833333333333333,3,"Ja",NA,1871.15,90885,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,41,72,54,74,95,8,48,38,83,67,2,80,40,48,17,77,64,1,94,97,0.8252163763885219
853,0,"lpnlr3jeppvm8m89",12,"2024-06-07T12:29:21Z","lucky",4,4,3,3,0,4,4,4,2,3,3,4,4,3,4,4,3,2,2,4,2,4,4,4,4,4,3,1,"Mittel/Realschulniveau","Ja","Hab dran gedacht, was der Ersteller des Spiels als nächste Schritt machen würde.",NA,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,19,"male","Mittlere Reife","Student/in",15,3.666666666666667,3.5,"Ja","Ich wusste nicht wann ich wo an der studie bin",1726.25,67724,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,80,16,39,15,25,47,15,54,3,17,25,10,99,91,20,67,50,19,67,26,0.7250943201606064
451,1,"g869oxtydvcte24o",6,"2024-06-07T12:29:56Z","lucky",1,1,3,1,0,3,1,3,3,4,4,3,3,2,3,3,1,0,0,3,0,3,3,2,0,4,3,2,"High school level","No",NA,"both are equally probable",1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,25,"male","University degree","Employed",15,2.166666666666667,3,"Yes",NA,1024.95,99863,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,98,31,37,46,1,23,41,95,16,99,20,22,94,18,43,33,43,85,10,39,0.6495408687155458
854,0,"0qg9out4hsjnp08w",12,"2024-06-07T12:32:41Z","lucky",2,4,3,2,1,3,1,3,3,1,4,2,4,4,2,3,2,2,2,2,3,3,4,4,4,3,3,2,"Gymnasialniveau","Ja","Fast immer Kopf","beide sind gleich wahrscheinlich",0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,22,"male","Fach- oder Hochschulreife (Abitur)","Student/in",16,1.666666666666667,3.333333333333333,"Ja","Ich hatte das Gefühl, der Münzwurf war nicht zufällig. Ich habe angegebn ein Glückspilz zu sein und der Münzwurf war fast immer richtig getippt.
",1097.2,76872,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,20,41,17,19,27,16,24,52,70,66,56,77,10,4,29,14,45,87,29,29,0.5772059081414194
452,0,"8hnardrzmjkqchrn",6,"2024-06-07T12:33:19Z","lucky",3,3,3,3,0,4,3,4,3,3,3,3,3,3,1,3,2,1,1,4,3,1,1,0,0,4,4,2,"Gymnasialniveau","Ja","Immer Kopf","beide sind gleich wahrscheinlich",0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,20,"male","Fach- oder Hochschulreife (Abitur)","Student/in",13,2.666666666666667,3.333333333333333,"Ja","Ich habe den Zusammenhang von den ersten Fragen zur Nettigkeit mit der Studie nicht verstanden ",4283.75,147678,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,95,76,12,6,10,41,56,86,35,76,0,58,52,18,73,39,40,91,81,45,0.5554129296492176
855,0,"ap5hfb4xs1v3bg55",12,"2024-06-07T12:36:03Z","lucky",3,3,3,3,0,4,2,2,3,3,1,2,4,3,3,2,3,1,1,3,2,3,0,2,0,2,4,1,"Gymnasialniveau","Ja","Meistens für Kopf entschieden ","beide sind gleich wahrscheinlich",1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,22,"male","Fach- oder Hochschulreife (Abitur)","Student/in",15,2.666666666666667,2.5,"Ja","Ich hatte viel Glück beim Münzen werfen ",2018.8,78299,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,50,41,19,12,69,0,2,74,72,18,54,27,54,51,48,30,19,72,46,60,0.5124978729457441
453,0,"0fapssq16vw2y57o",6,"2024-06-07T12:41:07Z","lucky",4,2,2,4,1,4,4,2,4,3,2,2,4,2,1,2,2,1,3,3,3,2,3,2,2,4,2,1,"Nein","Nein",NA,"beide sind gleich wahrscheinlich",0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,22,"female","Abgeschlossene Berufsausbildung","Sonstiges",14,3,2.333333333333333,"Ja",NA,2717.15,172553,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,35,11,86,61,81,26,94,29,23,27,51,54,1,42,7,27,28,25,72,88,0.4843552776891062
454,0,"c1qm5mbazvksytno",6,"2024-06-07T12:43:38Z","lucky",1,0,2,0,4,1,1,2,0,1,4,1,2,1,0,2,0,2,3,0,3,1,0,2,4,3,5,4,"Gymnasialniveau","Nein",NA,"beide sind gleich wahrscheinlich",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,20,"female","Fach- oder Hochschulreife (Abitur)","Schüler/in",12,0.666666666666667,2,"Ja",NA,1920.55,74176,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,55,53,52,73,25,74,71,99,42,69,60,19,10,6,34,70,0,1,79,22,0.478471934775249
856,0,"671fuperzmrhlx5e",12,"2024-06-07T12:47:28Z","lucky",1,2,3,1,1,4,1,2,1,2,1,0,4,3,4,1,4,2,2,4,1,0,4,3,0,5,5,2,"Teil des Studiums (z.B. Psychologie)","Ja","Intuition, liebe Freunde. Intuition.","beide sind gleich wahrscheinlich",0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,20,"male","Fach- oder Hochschulreife (Abitur)","Psychologiestudent/in an der LMU",15,1.5,2.333333333333333,"Ja","Gewinnrate 1/3",2166.95,100535,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,8,87,26,5,4,66,39,38,42,59,36,32,73,55,34,11,91,62,46,32,0.44608092824938667
1466,0,"yagv19fq1avxvkkx",20,"2024-06-07T12:47:59Z","lucky",3,4,4,4,0,3,3,1,4,4,1,2,4,2,3,1,4,2,2,1,0,3,4,4,4,5,4,1,"Nein","Nein",NA,"beide sind gleich wahrscheinlich",1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,50,"female","Fach- oder Hochschulreife (Abitur)","Berufstätig",11,3.166666666666667,2,"Ja",NA,3854.1,264149,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,46,84,71,10,2,17,34,68,83,84,60,3,92,7,43,28,17,80,98,25,0.45164415387860546
1467,0,"kgxakxc096934f3j",20,"2024-06-07T12:48:57Z","lucky",0,4,4,0,0,0,0,0,4,0,0,0,4,4,0,0,4,0,0,4,0,0,2,0,0,3,4,3,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"beide sind gleich wahrscheinlich",0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,23,"male","Fach- oder Hochschulreife (Abitur)","Student/in",11,0,1.333333333333333,"Ja","Nein",2416.05,141497,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,84,16,72,70,69,65,81,16,23,26,99,0,33,48,79,86,27,1,28,39,0.457836980128787
455,0,"e98dam66r99qj6oh",6,"2024-06-07T12:50:41Z","lucky",1,1,3,1,3,3,1,3,1,2,3,1,1,2,1,3,2,1,3,2,3,3,2,3,3,4,3,1,"Gymnasialniveau","Ja",NA,"rot ist wahrscheinlicher",1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,21,"male","Abgeschlossene Berufsausbildung","Berufstätig",13,1.166666666666667,2.833333333333333,"Ja",NA,1692.9,55346,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,44,23,55,73,22,64,98,56,6,10,4,94,18,8,12,73,85,26,49,87,0.4428429686316891
456,0,"28wk0l43yp5cqmb5",6,"2024-06-07T12:56:50Z","lucky",3,4,3,3,1,3,2,2,3,1,1,2,4,3,3,2,2,1,2,3,1,2,2,1,1,3,4,1,"Gymnasialniveau","Nein",NA,"beide sind gleich wahrscheinlich",1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,20,"female","Fach- oder Hochschulreife (Abitur)","Student/in",12,2.333333333333333,2.333333333333333,"Ja",NA,1276.25,109350,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,54,3,93,59,76,40,3,57,53,68,79,77,37,52,87,58,72,98,14,22,0.4381439530703448
1468,0,"a11uvrl4a4bdhux6",20,"2024-06-07T12:58:06Z","lucky",3,4,0,3,0,1,2,1,3,1,0,1,4,1,1,1,3,1,1,4,1,1,3,0,1,2,5,2,"zentraler Aspekt des Studiums (z.B. Mathematik, Statistik)","Nein",NA,"beide sind gleich wahrscheinlich",0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,20,"female","Fach- oder Hochschulreife (Abitur)","Student/in",11,1.833333333333333,0.666666666666667,"Ja",NA,1426.55,85173,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,34,12,57,86,56,54,23,26,41,98,65,79,95,95,95,22,80,79,38,0.4448397323229665
21,0,"5fe7qzr5v7yqb88h",1,"2024-06-07T13:03:37Z","lucky",2,4,2,3,0,3,3,3,4,2,0,3,3,3,4,2,1,1,2,3,1,3,3,2,2,4,3,2,"Gymnasialniveau","Nein",NA,"beide sind gleich wahrscheinlich",0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,22,"female","Fach- oder Hochschulabschluss","Student/in",17,2.833333333333333,2.166666666666667,"Ja",NA,4431.7,71339,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,92,45,9,66,20,27,2,35,28,54,46,4,32,34,43,42,47,29,73,52,0.40596993442114865
857,0,"ral5dmy6y64oaz4g",12,"2024-06-07T13:05:26Z","lucky",1,3,2,2,2,2,1,1,3,1,1,0,4,3,3,1,1,2,3,3,2,1,2,1,0,4,5,3,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"beide sind gleich wahrscheinlich",1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,19,"male","Fach- oder Hochschulreife (Abitur)","Psychologiestudent/in an der LMU",9,1.333333333333333,1.666666666666667,"Ja",NA,1175.85,59507,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2,50,61,10,63,87,60,76,93,94,4,40,97,77,33,74,34,32,9,79,0.43347249628250767
858,0,"nb7unl4kpc8bw779",12,"2024-06-07T13:06:03Z","lucky",3,2,3,3,3,3,3,3,3,3,2,3,4,4,2,3,3,3,1,2,2,1,2,2,1,4,4,4,"Gymnasialniveau","Nein",NA,"beide sind gleich wahrscheinlich",1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,22,"male","Fach- oder Hochschulreife (Abitur)","Student/in",7,2.833333333333333,3,"Ja",NA,1300.9,106686,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,34,32,33,83,79,66,78,93,59,91,34,76,62,95,37,68,68,71,28,81,0.49219799963755023
457,0,"zcl8sguxywyxxo75",6,"2024-06-07T13:09:36Z","lucky",3,4,2,2,1,3,2,2,1,2,2,1,3,3,3,2,1,0,0,3,2,3,2,0,2,2,4,1,"Mittel/Realschulniveau","Nein",NA,"beide sind gleich wahrscheinlich",1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,21,"male","Mittlere Reife","Auszubildende/r",15,2.166666666666667,2.333333333333333,"Ja","Kann es sein das die Kopf oder Zahl zufälligkeit von anderen Teilnehmern bei der 0 und 1 aufgabe gegeben wurde?
",2772.65,70877,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,47,53,18,95,49,27,81,41,33,78,54,4,9,4,60,5,52,64,3,32,0.4590788834992684
