"file","subject","vl","time","condition","age","gender","SVS1","SVS2","SVS3","autonomie1","autonomie2","autonomie3","LOT1","LOT2","LOT3","LOT4","LOT5","LOT6","LOT7","LOT8","LOT9","LOT10","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","handaufsherz","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","LOT3r","LOT7r","LOT9r","SMS5","SVS","ITW","LOT_Opt","LOT_Pess","hitsCon","hitsExp","BF.exp","BF.con"
110,"uth6mme8cj9jelrj",2,"2023-12-11T17:57:41Z","C1",25,"männlich",4,3,2,3,3,0,4,2,1,2,3,3,0,4,0,3,5,5,2,1,0,4,5,3,4,3,2,"Ja",1,5,2,1,3,3,4,4,2.6,3,3,3,3.666666666666667,6,6,0.567903702421146,0.7080313849854897
8,"fadgvlo292eryhxv",1,"2023-12-11T18:14:41Z","C2",22,"weiblich",4,2,6,4,3,3,2,1,3,3,3,2,1,2,4,4,4,3,3,3,5,3,2,4,3,4,4,"Ja",3,3,1,2,1,1,3,0,3.6,4,2.166666666666667,3,1.333333333333333,5,5,0.5576447338338104,0.6991140335042586
111,"q3jlmrzeoronau2j",2,"2023-12-11T19:58:47Z","C1",54,"weiblich",6,6,8,4,3,3,3,2,3,3,4,2,3,2,1,3,4,3,2,4,1,2,2,3,2,2,2,"Ja",3,2,2,3,3,1,1,3,2.4,6.666666666666667,2.333333333333333,3,1.666666666666667,5,5,0.5481611889313103,0.6907645055766121
112,"r7vc46ug8osxg3m1",2,"2023-12-11T21:37:27Z","C2",27,"männlich",10,10,10,4,0,0,0,0,0,0,2,1,3,2,3,0,2,1,3,3,4,4,5,4,1,5,4,"Ja",5,3,1,4,1,4,1,1,3.4,10,3.333333333333333,0,2,5,6,0.5762747014767557,0.6829104797322215
9,"bqhjfkcpjqqmgdjx",1,"2023-12-12T01:30:56Z","C2",20,"männlich",8,7,8,1,1,1,3,3,1,1,4,2,0,3,2,2,1,5,2,4,0,2,2,3,3,3,4,"Ja",1,2,2,2,1,3,4,2,1.2,7.666666666666667,2,2,3,3,4,0.5389106632916394,0.6177157651648589
10,"1r45b1oorsznze9b",1,"2023-12-12T08:09:49Z","C2",55,"weiblich",8,7,8,4,4,4,4,3,1,3,4,3,0,3,0,4,2,5,0,5,0,1,1,4,3,2,4,"Ja",1,1,1,2,1,3,4,4,0.8,7.666666666666667,1.333333333333333,3.666666666666667,3.666666666666667,4,4,0.5057854458432084,0.5849844750349308
11,"nsz6ucb30fp8hrj3",1,"2023-12-12T08:55:11Z","C2",43,"weiblich",7,7,7,4,4,0,3,1,1,3,4,4,1,2,1,4,2,3,1,3,0,2,2,3,2,3,3,"Ja",3,3,2,3,2,3,3,3,1.8,7,2.333333333333333,3.333333333333333,3,7,4,0.4762228523373182,0.6376198900257105
12,"uscvmaq4krunlb5s",1,"2023-12-12T09:53:02Z","C1",58,"weiblich",8,8,10,4,3,2,4,3,2,4,4,2,0,4,0,4,2,5,0,5,0,3,2,4,5,0,4,"Ja",1,1,1,0,1,2,4,4,0.8,8.666666666666666,1.166666666666667,4,3.333333333333333,7,6,0.49873071962318455,0.6980435101054945
207,"buwzn8sjxv4vsr4b",3,"2023-12-12T10:25:36Z","C2",23,"männlich",6,4,6,0,1,2,3,2,1,2,3,3,1,4,1,3,0,4,1,5,0,4,4,2,2,3,2,"Ja",2,1,3,3,3,3,3,3,0.8,5.333333333333333,3.333333333333333,2.666666666666667,3,5,5,0.4922168249150969,0.6921932767376103
113,"jgldnj2xw03fmfb2",2,"2023-12-12T10:29:09Z","C1",32,"weiblich",8,9,9,4,4,4,2,1,2,4,4,3,1,2,1,3,3,3,2,4,1,4,4,5,3,4,4,"Ja",3,2,0,2,1,2,3,3,2.2,8.666666666666666,2.5,3,2.666666666666667,4,6,0.5176850656539164,0.6536291882960681
114,"hmt54vrtvl6daeo5",2,"2023-12-12T10:35:42Z","C1",23,"weiblich",4,7,6,3,1,0,1,2,3,2,3,1,3,3,4,1,3,4,1,3,1,5,4,1,2,1,1,"Ja",2,3,4,3,4,1,1,0,2,5.666666666666667,3.5,1.333333333333333,0.666666666666667,6,4,0.48660058740842455,0.6818282847287604
115,"f2x057p14eusguwc",2,"2023-12-12T10:45:26Z","C2",29,"weiblich",10,10,10,4,4,4,3,2,1,4,4,2,0,4,0,0,2,5,1,5,0,2,4,2,2,4,2,"Ja",1,1,3,3,3,3,4,4,1,10,3.166666666666667,2.333333333333333,3.666666666666667,5,3,0.44511772795952076,0.6766309247106782
116,"xjb2ocsnmcwaenwd",2,"2023-12-12T10:57:58Z","C1",35,"weiblich",10,9,10,4,4,4,1,1,2,2,3,3,1,1,1,3,2,3,0,4,0,0,2,4,0,2,1,"Ja",3,2,1,5,4,2,3,3,1.4,9.666666666666666,2.333333333333333,2,2.666666666666667,5,5,0.43979539810286916,0.671617524451472
208,"twoj722n72xrel07",3,"2023-12-12T11:07:52Z","C2",28,"weiblich",9,10,10,4,4,2,2,2,1,2,4,2,4,3,3,3,1,3,0,1,0,4,4,1,1,4,1,"Ja",3,5,4,4,4,3,0,1,1.8,9.666666666666666,4,2.333333333333333,1.333333333333333,4,5,0.4347074819442741,0.6338214082385074
209,"nevk591t08mo46fw",3,"2023-12-12T11:24:26Z","C1",33,"weiblich",3,5,6,3,4,4,2,3,2,1,3,1,2,4,3,3,4,5,2,3,0,4,4,2,2,4,2,"Ja",1,3,3,3,3,2,2,1,2,4.666666666666667,3.5,2,1.666666666666667,2,4,0.41233286994768303,0.5544054643965461
117,"aoxag406u0swtr5z",2,"2023-12-12T11:26:02Z","C1",35,"weiblich",2,4,4,2,2,2,3,3,1,3,3,3,1,3,0,3,6,2,5,2,4,3,2,1,2,4,3,"Ja",4,4,4,3,2,3,3,4,4.6,3.333333333333333,3,3,3.333333333333333,3,3,0.38301968683066817,0.5105845211470124
211,"jhddbnwfaxphh4sr",3,"2023-12-12T13:02:55Z","C2",30,"weiblich",7,8,7,3,1,0,3,3,0,2,3,3,0,2,0,3,1,5,0,4,1,3,3,1,1,3,1,"Ja",1,2,4,4,4,4,4,4,1,7.333333333333333,3.5,2.666666666666667,4,4,7,0.42294489192431944,0.4880097144951526
118,"p0kfjlrjytt47xvh",2,"2023-12-12T13:43:32Z","C2",22,"männlich",9,9,9,3,1,2,4,3,1,4,4,4,1,4,2,2,1,5,1,5,0,1,3,5,4,1,5,"Ja",1,1,0,1,0,3,3,2,0.8,9,1,3.333333333333333,2.666666666666667,8,4,0.4028027255525341,0.5517137710752669
119,"gzalt5l533ws1smt",2,"2023-12-12T17:16:41Z","C1",44,"weiblich",6,6,7,2,1,1,1,2,1,1,1,3,1,2,3,3,2,2,2,4,1,3,3,2,1,3,3,"Ja",4,2,3,4,2,3,3,1,2.2,6.333333333333333,3,1.666666666666667,2.333333333333333,4,5,0.39868085988837304,0.5269899176077042
212,"1ojrfb2ehc8eg5tl",3,"2023-12-12T21:04:16Z","C1",24,"weiblich",3,1,6,3,1,2,3,2,1,2,3,1,1,1,1,3,1,1,1,2,0,1,0,1,2,1,1,"Ja",5,4,4,3,4,3,3,3,2.2,3.333333333333333,2.166666666666667,2.666666666666667,3,8,3,0.37135573492855545,0.5953552026841341
120,"c3ge5uncq0fc77o8",2,"2023-12-13T03:42:47Z","C1",28,"weiblich",8,8,8,4,4,3,1,2,3,2,4,0,2,2,3,1,2,3,3,4,0,4,2,3,1,3,3,"Ja",3,2,2,4,2,1,2,1,2,8,2.833333333333333,1.333333333333333,1.333333333333333,6,6,0.3846306243990496,0.6172103213928168
13,"p6tqz171hm7qakn5",1,"2023-12-13T06:32:04Z","C1",28,"männlich",7,5,8,2,2,3,2,2,2,2,4,1,2,3,1,2,0,3,2,4,3,4,5,3,1,4,2,"Ja",3,2,2,4,3,2,2,3,2,6.666666666666667,3.666666666666667,2,2.333333333333333,6,6,0.3990024862632658,0.6410663542904707
14,"6pthfbyylrt50rzg",1,"2023-12-13T08:56:09Z","C2",26,"weiblich",9,7,7,3,4,3,3,3,3,4,4,2,1,2,1,3,2,4,1,3,1,3,3,4,2,4,3,"Ja",2,3,1,3,2,1,3,3,1.8,7.666666666666667,2.666666666666667,3.333333333333333,2.333333333333333,6,3,0.37150292929531814,0.667134440174372
15,"b6kqj9dnb6qyqykr",1,"2023-12-13T13:52:10Z","C2",35,"männlich",3,5,5,2,3,2,2,2,2,2,2,2,1,2,2,2,1,5,1,5,1,3,3,3,3,3,3,"Ja",1,1,2,2,2,2,3,2,1,4.333333333333333,2.5,2,2.333333333333333,4,6,0.3845566072035389,0.6340594481903613
16,"vbxoarjxol1vlbhq",1,"2023-12-13T13:52:20Z","C2",44,"weiblich",3,3,3,2,1,2,3,1,2,2,2,2,2,2,2,2,5,2,2,1,2,2,2,2,2,2,2,"Ja",4,5,3,3,3,2,2,2,3.6,3,2.5,2.333333333333333,2,5,3,0.3592204543081447,0.6305349120953647
17,"w3rwtao2oxsmfkqe",1,"2023-12-13T15:14:43Z","C1",49,"weiblich",6,8,7,3,3,2,3,2,1,3,4,3,2,4,2,3,4,3,2,3,2,4,3,3,2,3,2,"Ja",3,3,2,3,3,3,2,2,2.8,7,3,3,2.333333333333333,4,4,0.3448637933983044,0.6001047296704234
18,"z833fkktgz1q2xyo",1,"2023-12-13T16:48:32Z","C1",16,"weiblich",3,2,3,1,2,3,0,0,2,0,1,1,3,1,4,1,6,1,6,0,0,1,1,3,0,4,2,"Ja",5,6,2,5,3,2,1,0,4.6,2.666666666666667,2.666666666666667,0.333333333333333,1,5,5,0.34180682419936703,0.5967204498585388
213,"3at8p9erh1h1bove",3,"2023-12-13T19:30:05Z","C2",31,"divers",5,7,5,0,4,0,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,"Ja",3,3,2,2,2,2,2,2,3,5.666666666666667,2.5,2,2,5,3,0.3219021967382354,0.5934147144177295
214,"wqygv9s774ek35ha",3,"2023-12-13T19:53:28Z","C1",19,"weiblich",5,5,5,2,2,2,2,3,1,3,4,3,1,2,1,2,3,3,2,4,1,2,2,4,3,1,4,"Ja",3,2,1,2,1,3,3,3,2.2,5,1.5,2.333333333333333,3,8,4,0.3101438567267616,0.6775603122924472
215,"qpd4f0507m982mxk",3,"2023-12-13T20:13:42Z","C2",22,"männlich",2,2,2,4,2,4,3,3,1,2,3,1,1,4,1,3,2,4,3,3,1,1,4,5,5,4,5,"Ja",2,3,0,0,0,3,3,3,2.2,2,1.5,2.666666666666667,3,8,4,0.2991161073356389,0.7773677395634064
216,"1e5tux4cb776f0my",3,"2023-12-13T20:13:54Z","C1",24,"männlich",5,8,5,2,0,1,3,4,0,2,4,3,0,4,1,3,6,2,4,1,2,1,3,5,3,1,3,"Ja",4,5,0,2,2,4,4,3,4.2,6,1.5,2.666666666666667,3.666666666666667,7,5,0.29653435624644736,0.8563087531813166
217,"c4952jdujkaw369j",3,"2023-12-13T20:25:51Z","C2",24,"weiblich",0,3,0,1,1,2,3,1,2,2,4,4,1,4,4,2,0,4,3,5,2,3,4,5,3,2,4,"Ja",2,1,0,2,1,2,3,0,1.6,1,2,2.333333333333333,1.666666666666667,7,6,0.3050094373809329,0.9485360595687091
19,"ythlemtvmqxop313",1,"2023-12-13T21:38:34Z","C1",22,"weiblich",6,6,7,4,4,4,1,1,2,2,4,3,1,2,1,4,2,5,1,4,0,1,2,4,4,3,3,"Ja",1,2,1,1,2,2,3,3,1.2,6.333333333333333,1.666666666666667,2.333333333333333,2.666666666666667,7,5,0.30252449435723056,1.0571750201133334
218,"rql2twrlo8vbdfay",3,"2023-12-13T21:51:50Z","C2",27,"weiblich",2,3,4,4,4,4,2,1,1,3,4,4,1,3,0,4,5,2,3,1,0,0,1,4,4,1,5,"Ja",4,5,1,1,0,3,3,4,3.4,3,0.666666666666667,3,3.333333333333333,4,5,0.3001062712141413,0.9908007951614377
219,"qd860a2bjm86ogg0",3,"2023-12-14T05:59:44Z","C2",23,"weiblich",7,7,7,4,4,4,3,1,3,3,4,3,1,2,2,3,5,3,4,1,3,5,5,3,1,4,1,"Ja",3,5,2,4,4,1,3,2,4,7,4,3,2,4,5,0.2977516491283197,0.9309822601180378
220,"yqfkj8doa2fs88h8",3,"2023-12-14T06:40:27Z","C2",20,"weiblich",0,0,2,4,0,0,4,4,0,3,2,2,2,4,1,4,0,3,1,2,1,0,0,3,3,3,3,"Ja",3,4,2,2,2,4,2,3,1.8,0.666666666666667,1.5,3.666666666666667,3,0,0,0.2804042540664584,0.7078710886826262
221,"xoyyt7zx5s1vufw8",3,"2023-12-14T08:34:01Z","C2",25,"weiblich",9,9,9,4,4,3,3,2,1,3,2,3,0,3,0,4,5,2,5,4,2,4,2,5,4,4,4,"Ja",4,2,0,1,1,3,4,4,3.6,9,2,3.333333333333333,3.666666666666667,5,5,0.2782302029991978,0.7052041075268902
222,"ohdx3fe3gdo9nbhg",3,"2023-12-14T11:57:27Z","C1",20,"weiblich",9,9,9,4,4,4,3,3,4,3,4,1,2,3,2,4,2,5,1,2,1,1,3,4,4,2,3,"Ja",1,4,1,1,2,0,2,2,1.8,9,1.666666666666667,3.333333333333333,1.333333333333333,6,4,0.26977013071845346,0.7336443689297116
21,"mkc9fg3eunbvye2n",1,"2023-12-14T13:18:44Z","C2",21,"weiblich",8,7,10,3,0,0,2,3,0,3,4,2,0,1,0,4,1,5,0,5,0,2,1,4,3,2,3,"Ja",1,1,1,2,2,4,4,4,0.6,8.333333333333334,1.666666666666667,3,4,7,5,0.26772987921356645,0.7987835338861536
223,"ms05eeb4tdq2ukdq",3,"2023-12-14T13:35:44Z","C1",22,"weiblich",4,2,2,1,0,0,3,4,1,3,4,2,1,1,2,3,3,5,6,5,4,1,1,4,3,3,4,"Ja",1,1,1,2,1,3,3,2,3,2.666666666666667,1.5,3,2.666666666666667,6,7,0.2841282894611133,0.8345772633058157
22,"a9as07pq7j6p2t7d",1,"2023-12-14T15:06:40Z","C1",59,"weiblich",7,7,8,4,4,4,4,1,1,4,4,2,1,3,0,4,0,6,0,5,0,1,1,3,3,2,3,"Ja",0,1,2,2,2,3,3,4,0.2,7.333333333333333,1.666666666666667,4,3.333333333333333,4,5,0.28211070752789513,0.7925210882774464
224,"ooa5czmw23xegb2v",3,"2023-12-14T17:53:24Z","C2",30,"weiblich",7,5,4,4,4,4,2,3,2,3,4,1,1,1,1,3,1,3,2,4,1,3,4,1,2,4,2,"Ja",3,2,4,3,3,2,3,3,1.8,5.333333333333333,3.5,2.666666666666667,2.666666666666667,6,6,0.28892600884665315,0.8281216217879372
121,"xzlln40qm8dsx691",2,"2023-12-14T20:41:54Z","C2",58,"männlich",9,10,10,4,3,1,4,3,2,4,4,4,0,3,0,4,1,5,0,6,0,3,1,4,4,2,4,"Ja",1,0,1,1,1,2,4,4,0.4,9.666666666666666,1.5,4,3.333333333333333,4,3,0.2749323325003053,0.78640736611631
122,"4dzzt0y6zvvnye2u",2,"2023-12-14T21:21:36Z","C1",50,"weiblich",8,3,9,4,0,0,3,2,1,3,4,2,0,4,0,4,3,4,1,5,0,1,2,5,3,1,4,"Ja",2,1,0,2,1,3,4,4,1.4,6.666666666666667,1.166666666666667,3.333333333333333,3.666666666666667,5,5,0.27306156200142473,0.784095027763446
23,"co5j5oww184vtqds",1,"2023-12-15T07:54:58Z","C2",21,"weiblich",7,10,8,3,4,4,3,1,2,1,4,4,0,3,1,3,2,5,1,5,0,4,5,4,1,3,4,"Ja",1,1,1,4,1,2,4,3,1,8.333333333333334,3,2.333333333333333,3,6,3,0.2605257480234988,0.8195668714392511
24,"60js4vhtgt6tho0k",1,"2023-12-15T08:10:56Z","C1",34,"weiblich",5,7,7,3,3,3,2,2,3,2,3,2,2,3,2,3,1,4,2,4,0,3,3,2,3,3,3,"Ja",2,2,3,2,2,1,2,2,1.4,6.333333333333333,2.666666666666667,2.333333333333333,1.666666666666667,3,7,0.27570499718161157,0.741280379807028
25,"0y7em3pyumwtffju",1,"2023-12-15T08:45:20Z","C1",50,"weiblich",5,6,6,4,4,4,4,3,1,3,4,3,1,3,0,4,4,2,3,4,0,1,2,4,4,2,4,"Ja",4,2,1,1,1,3,3,4,2.6,5.666666666666667,1.333333333333333,3.666666666666667,3.333333333333333,4,7,0.29208747875829044,0.7063281920341937
26,"239oardz3msgjxhv",1,"2023-12-15T08:51:45Z","C1",43,"weiblich",5,5,8,3,1,3,4,3,1,4,4,3,1,3,0,4,0,5,0,5,0,2,2,3,3,3,3,"Ja",1,1,2,2,2,3,3,4,0.4,6,2.166666666666667,4,3.333333333333333,5,3,0.27797055323364145,0.7040767363810353
123,"3cmvo81f7k5gqe39",2,"2023-12-15T09:12:57Z","C2",56,"männlich",9,8,9,4,4,4,3,3,1,3,4,2,0,2,1,3,1,5,0,6,0,0,1,5,5,1,4,"Ja",1,0,0,0,1,3,4,3,0.4,8.666666666666666,0.5,3,3.333333333333333,5,2,0.2620416076095979,0.7018547960736161
124,"3xd3b3wzmmyyt094",2,"2023-12-15T12:46:39Z","C1",56,"weiblich",5,9,8,4,4,2,2,2,0,3,4,3,1,2,1,3,1,5,0,5,0,3,3,1,0,3,1,"Ja",1,1,4,5,4,4,3,3,0.6,7.333333333333333,3.666666666666667,2.666666666666667,3.333333333333333,6,6,0.26746823495563626,0.7313999783254819
125,"g9wnecqcfu9k0ok8",2,"2023-12-15T16:02:00Z","C1",60,"männlich",10,10,10,4,4,4,4,4,0,4,4,1,0,4,0,4,0,6,0,6,0,1,1,3,3,1,3,"Ja",0,0,2,2,2,4,4,4,0,10,1.5,4,4,4,3,0.2557880004270445,0.6967558131976651
126,"wok5c8tm67hye8me",2,"2023-12-16T07:23:14Z","C1",54,"weiblich",8,6,7,4,4,4,4,3,0,4,4,3,0,3,0,4,1,3,3,3,0,2,2,3,3,2,3,"Ja",3,3,2,2,2,4,4,4,2,7,2,4,4,3,3,0.24513978257335425,0.6367213817848544
127,"qxzwzj3j9s3k83ze",2,"2023-12-16T07:48:44Z","C2",53,"weiblich",6,4,6,3,1,2,3,2,1,2,4,0,1,3,1,4,4,3,4,2,1,1,1,4,3,3,4,"Ja",3,4,1,2,1,3,3,3,3.2,5.333333333333333,1.5,3,3,6,4,0.2388461464542107,0.6615648858986393
128,"xdu16oldbrm9cb3e",2,"2023-12-16T08:48:41Z","C1",54,"weiblich",5,5,2,2,3,3,0,1,2,2,4,2,2,2,2,2,6,1,6,2,6,5,5,1,1,5,1,"Ja",5,4,4,4,4,2,2,2,5.4,4,4.5,1.333333333333333,2,6,1,0.2264577648271636,0.688281459994774
129,"ewt33qszdbqlp39p",2,"2023-12-16T11:37:39Z","C1",49,"weiblich",5,7,7,3,3,3,2,3,1,3,4,1,1,1,2,3,2,5,2,3,0,3,3,2,2,4,2,"Ja",1,3,3,3,3,3,3,2,1.6,6.333333333333333,3.166666666666667,2.666666666666667,2.666666666666667,4,7,0.23648166667480602,0.6569252375370422
27,"jplcorpsk39ro2jg",1,"2023-12-16T23:27:55Z","C2",18,"weiblich",3,2,4,2,2,2,0,1,1,1,4,0,2,4,3,0,5,0,2,4,5,3,0,1,1,3,3,"Ja",6,2,4,4,2,3,2,1,4,3,2.666666666666667,0.333333333333333,2,7,6,0.2405481886233478,0.7132111155580187
130,"5pdpsb3nxrja3lae",2,"2023-12-17T09:01:08Z","C1",25,"weiblich",5,5,5,2,1,2,2,2,2,3,3,2,1,1,0,4,1,3,2,2,0,4,4,4,2,2,3,"Ja",3,4,1,3,2,2,3,4,2,5,2.666666666666667,3,3,8,4,0.23469089095187476,0.8111500874863421
131,"5j79jc7q9o8329sh",2,"2023-12-18T16:56:17Z","C1",33,"divers",8,8,9,2,3,3,2,2,3,2,3,3,3,2,2,3,4,3,4,3,3,3,4,1,1,0,1,"Ja",3,3,4,4,4,1,1,2,3.4,8.333333333333334,3.166666666666667,2.333333333333333,1.333333333333333,7,8,0.2530557756118391,0.888677471215842
28,"gtjbk0o4gqa7dwqe",1,"2023-12-19T16:02:45Z","C2",23,"weiblich",8,9,9,4,4,1,1,0,4,2,3,2,1,1,2,4,3,4,3,4,2,4,4,5,3,3,2,"Ja",2,2,0,2,3,0,3,2,2.4,8.666666666666666,2.666666666666667,2.333333333333333,1.666666666666667,4,6,0.25767722700162654,0.8428047110331314
225,"dgjwr8o05rubw7ty",3,"2023-12-20T10:02:03Z","C2",64,"weiblich",8,8,8,4,4,4,1,2,2,2,2,2,3,1,3,2,0,2,0,3,0,0,0,5,2,2,5,"Ja",4,3,0,3,0,2,1,1,1.4,8,0.833333333333333,1.666666666666667,1.333333333333333,6,7,0.2698856103314325,0.8826679215266083
226,"1tggjue3qoxj1xz2",3,"2023-12-20T10:05:26Z","C1",19,"weiblich",6,7,6,2,1,1,2,3,1,3,3,4,1,2,1,4,1,4,1,4,0,1,3,3,3,2,3,"Ja",2,2,2,2,2,3,3,3,1.2,6.333333333333333,2,3,3,9,6,0.2751642410885486,1.059786857660303
227,"lmto2q4mmx0z3mjx",3,"2023-12-20T10:15:58Z","C2",19,"weiblich",8,6,7,4,4,1,1,1,1,2,4,2,3,3,1,4,1,5,1,4,0,1,1,4,4,2,4,"Ja",1,2,1,1,1,3,1,3,1,7,1.166666666666667,2.333333333333333,2.333333333333333,5,6,0.2806903418773896,1.058158195448099
132,"drpuqq0gg6t252xx",2,"2023-12-20T10:46:23Z","C1",46,"weiblich",6,6,6,3,2,1,2,2,2,2,3,1,2,2,2,3,2,3,5,4,1,3,4,3,1,3,2,"Ja",3,2,2,4,3,2,2,2,2.6,6,3.166666666666667,2.333333333333333,2,4,5,0.2792875358301081,0.9994647011672246
228,"sq56k6z5kbso66ze",3,"2023-12-20T11:01:06Z","C2",60,"weiblich",8,7,8,4,4,3,3,3,1,2,4,2,1,3,1,3,3,5,1,4,1,0,2,3,3,2,4,"Ja",1,2,2,2,1,3,3,3,1.6,7.666666666666667,1.5,2.666666666666667,3,4,2,0.2632356586009006,0.9457189263244994
229,"jj6tul7pwxcl78dz",3,"2023-12-20T11:11:33Z","C1",23,"weiblich",7,6,7,4,4,4,2,0,0,4,4,4,0,2,0,4,6,0,3,0,0,5,5,5,0,0,0,"Ja",6,6,0,5,5,4,4,4,4.2,6.666666666666667,3.333333333333333,3.333333333333333,4,6,5,0.26192075543213256,0.992896665553893
230,"m2rh2ax53cs5u1v9",3,"2023-12-20T11:13:42Z","C2",20,"weiblich",3,4,4,2,1,2,3,1,3,4,3,3,0,2,3,4,3,2,3,4,1,2,2,4,5,1,4,"Ja",4,2,1,0,1,1,4,1,2.6,3.666666666666667,1.166666666666667,3.666666666666667,2,3,5,0.2606269139347836,0.8901322554715644
231,"q7j4sqy4e7eqbjme",3,"2023-12-20T11:50:55Z","C1",52,"weiblich",8,7,9,3,1,1,3,2,1,4,3,3,2,3,1,4,1,4,0,3,0,1,2,1,4,2,3,"Ja",2,3,4,1,2,3,2,3,1.2,8,2,3.666666666666667,2.666666666666667,5,3,0.24989553756976324,0.8884047544288363
232,"3dd51sxy7mo0lpe4",3,"2023-12-20T12:20:21Z","C1",20,"männlich",7,6,8,4,4,2,2,4,2,4,4,4,1,1,1,3,1,5,1,4,0,5,4,5,4,1,2,"Ja",1,2,0,1,3,2,3,3,1,7,2.333333333333333,3,2.666666666666667,4,7,0.2613409549165933,0.8437252965065553
234,"lyq7fbffkvy7thh3",3,"2023-12-20T13:10:16Z","C2",25,"weiblich",5,7,6,3,3,2,2,1,3,2,3,1,2,1,2,2,4,3,4,3,2,4,4,1,1,4,2,"Ja",3,3,4,4,3,1,2,2,3.2,6,3.833333333333333,2,1.666666666666667,4,4,0.2548778719805854,0.8024870349852131
