"CASE","SERIAL","subject_id","Pos","bet.ges...ms.3","STARTED","BI01","BI02","SS01_01","SS01_02","SS_Score","FF01_01","FF01_02","FF01_03","FF01_04","FF01_05","FF01_06","FF01_07","FTF6_Score","OP01_01","OP01_02","OP01_03","OP01_04","OP01_05","OP01_06","OP01_07","OP01_08","OP01_09","OP01_10","Opt_Score","Pess_Score","ME01","ME09","ME02","ME02_05","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_08","ME05_10","ME05_05","ME05_05a","ME05_06","ME05_06a","ME06","ME06_05","ME06_01","ME06_02","ME06_03","ME06_04","ME06_06","ME10","PT01_01","PT02","PT02_01","DE01","DE02_01","DE05","DE06","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
91,NA,"nbd5n68h",45,12555,"19.03.2017 16:06",5,5,3,4,2.5,2,3,2,3,1,4,7,2.5,5,3,3,5,5,4,3,4,2,5,5,2.666666667,1,3,5,"12",1,2,3,2,2,1,2,1,1,"",1,"",5,2,2,2,2,1,2,5,"",2,"",1,22,1,NA,5,6,14,44,73,6,80,14,9,6,257,NA,"19.03.2017 16:11",1,0,10,10,3,2,1.74,49,1.050029587020497
303,NA,"va0uwfgp",49,131260,"21.03.2017 16:18",5,4,2,3,2.5,6,4,5,5,4,4,3,4.666666667,3,1,2,2,5,1,3,3,3,3,2.666666667,2.666666667,1,2,5,"14",2,1,2,2,1,2,1,1,1,"",1,"",2,1,2,1,2,1,1,3,"ob betende Menschen optimistischer durchs Leben gehen?",2,"",1,22,1,NA,9,22,32,67,67,13,123,74,9,20,436,NA,"21.03.2017 16:26",1,0,10,10,0,0,0.89,3,1.0122667790207496
66,NA,"2hrnwgt1",41,209355,"19.03.2017 11:51",5,4,3,4,2.5,6,3,5,5,3,3,6,4.166666667,4,4,2,3,5,4,2,3,2,4,3.666666667,2,1,3,5,"15",2,2,3,2,2,1,2,1,1,"",1,"",5,2,2,2,2,1,2,4,"Ob sich Gebet positiv auf Emotionen/Erwartungen auswirkt",2,"",1,23,1,NA,6,9,23,22,39,8,57,29,10,12,215,NA,"19.03.2017 11:54",1,0,10,10,0,0,1.62,31,0.7673509527249037
389,NA,"3xh4tez4",52,14283,"31.03.2017 23:47",5,5,2,1,3.5,1,2,1,3,1,5,6,2.166666667,4,3,4,3,4,2,5,4,2,3,3.333333333,3.666666667,1,3,4,"",1,2,2,2,2,1,1,1,1,"",1,"",3,2,2,1,2,1,1,3,"Mein Gebetsleben",1,"Die Bilder , die man sich anschauen musste ",1,23,1,NA,7,9,32,76,114,7,98,126,14,45,528,NA,"31.03.2017 23:56",1,0,10,10,0,0,0.85,3,0.7985992596566482
104,NA,"6ggf60ao",51,16037,"19.03.2017 17:30",5,5,3,1,4,2,2,6,5,1,1,7,2.833333333,4,5,2,5,3,4,2,5,2,4,4.333333333,2,1,4,3,"",1,1,3,2,2,1,2,1,1,"",1,"",3,2,2,1,2,1,1,5,"Die Wirkung von Gebeten auf das persönliche Leben.",1,"Die Bilderserie war seltsam",2,23,1,NA,10,25,29,65,59,4,72,61,8,6,339,NA,"19.03.2017 17:35",1,0,10,10,0,0,1.34,23,0.8135440325554628
199,NA,"ayhze3hs",56,1019809,"20.03.2017 00:19",5,4,2,2,3,3,2,1,3,1,2,4,2,3,4,2,4,4,2,1,5,1,4,3.666666667,1.333333333,1,4,5,"18",1,2,1,2,1,1,1,1,1,"",1,"",3,2,1,1,2,1,2,5,"Den Einfluss von Gebet/Gottesbeziehung auf die eigene Lebenssicht und Psyche",1,"Die Bilder zu Beginn jeweils mit harmonischen und disharmonischen Klängen",2,23,1,NA,10,18,40,88,102,8,166,316,14,22,784,NA,"20.03.2017 00:32",1,0,10,10,0,0,0.7,0,0.9337437824351225
255,NA,"g0hwyer0",50,55139,"20.03.2017 19:20",5,5,2,3,2.5,3,2,2,2,1,1,7,1.833333333,4,4,2,4,5,4,2,4,2,5,4.333333333,2,1,4,5,"20",1,3,3,1,2,1,2,1,2,"Zungensprache ",1,"",3,2,2,1,2,1,1,5,"Ob Menschen die beten, entspannter durchs Leben gehen als andere Menschen. ",1,"Was Sie mit den Bildern überprüfen wollten. ",2,23,1,NA,7,13,22,514,109,4,335,196,7,18,767,NA,"20.03.2017 19:41",1,0,10,10,0,0,0.95,11,0.9304191720527181
116,NA,"w0zv6vdy",53,170546,"19.03.2017 18:11",4,3,2,3,2.5,5,3,4,7,1,1,6,3.5,3,4,2,4,3,2,3,4,3,3,3.333333333,2.666666667,1,4,3,"",1,2,2,2,2,1,1,1,1,"",1,"",4,2,2,1,2,1,2,5,"Das kann ich nicht genau sagen",1,"Die Fragen im Anschluß auf die wechselnden Bilder, dazu die hohen und tiefen Töne. ",2,23,1,NA,7,10,15,39,43,6,56,91,9,17,293,NA,"19.03.2017 18:16",1,0,10,10,0,0,1.34,18,1.003995796915182
69,NA,"0xuvol92",45,227207,"19.03.2017 12:03",4,3,2,5,1.5,3,5,4,5,1,2,7,3.333333333,4,4,3,5,4,4,2,5,2,4,4.333333333,2.333333333,1,3,4,"",1,1,2,2,1,2,1,1,1,"",1,"",2,1,2,1,2,1,1,4,"Einfluss des Betens auf die Stimmung",2,"",2,24,2,3,7,8,15,57,93,7,81,44,11,21,344,NA,"19.03.2017 12:09",1,0,10,10,0,0,1.19,11,0.8661696003179261
381,NA,"5nannd7z",55,9473,"29.03.2017 16:53",5,4,3,4,2.5,1,2,1,3,1,2,7,1.666666667,5,4,1,5,5,2,1,4,1,5,5,1,1,4,5,"20",1,4,3,2,2,1,2,1,1,"",1,"",6,2,2,2,2,2,2,5,"Ob Gebet eine messbare Auswirkung auf das Leben eines betenden Menschen hat.",2,"",1,24,1,NA,7,10,38,120,165,7,84,55,9,12,507,NA,"29.03.2017 17:02",1,0,10,10,0,0,1.04,9,0.973722095442081
158,NA,"bs77n26p",53,12169,"19.03.2017 21:16",5,3,3,5,2,2,1,6,6,1,4,4,3.333333333,2,3,2,2,5,2,2,4,2,4,2.666666667,2,1,3,4,"",1,1,1,2,1,1,1,1,1,"",1,"",5,2,2,2,2,1,2,5,"Auswirkungen des Gebets auf die Psyche bzw den Charakter eines Gläubigen? ",1,"Mir kam das ganze mit den negativen Bildern und den Dissonanzen sehr schwarz-weiß denkerisch vor. Nicht alles (wenn auch das meiste) muss tatsächlich einen schlechten Hintergrund gehabt haben (Man kennt ihn ja nicht)
Z.b. der Forscher mit der Probe oder das Abflussrohr",2,24,1,NA,7,14,17,74,82,9,60,168,11,23,465,NA,"19.03.2017 21:24",1,0,10,10,0,0,0.99,7,1.0511386351324015
38,NA,"j2n4guz3",46,71718,"18.03.2017 23:59",5,4,3,3,3,1,1,5,1,1,1,7,1.666666667,5,4,1,4,4,3,2,4,1,3,4,1.333333333,1,4,5,"15",1,2,1,2,1,1,1,1,1,"",1,"",5,2,2,2,2,1,2,5,"Das Gebet etwas bewirkt - wenn wir daran glauben. Die subjektive Wahrnehmung kann den Eindruck erzeugen, dass Gebet nicht ankommt,... Jedoch ist uns Gott näher, als wir denken.",1,"Die negativen/schlimmen Bilder.",1,24,1,NA,7,12,19,33,75,4,76,151,9,83,469,NA,"19.03.2017 00:07",1,0,10,10,0,0,1.14,14,0.9326581974461788
342,NA,"j8zlvwh5",52,5306,"23.03.2017 11:03",5,5,3,2,3.5,4,3,2,2,1,1,6,2.166666667,4,3,1,4,5,3,1,4,1,1,3,1,1,3,5,"22",2,1,3,2,2,1,2,1,1,"",1,"",3,2,2,1,2,1,1,4,"Wie beeinflussbar die Grundlebensstimmung nach dem Beten ist.",1,"Ich wurde nach keinen Daten zur Person gefragt.
",2,24,1,NA,4,4,15,28,59,3,59,75,8,9,264,NA,"23.03.2017 11:07",1,0,10,10,0,0,1.85,43,0.9789685729886491
135,NA,"kmfqk253",59,30888,"19.03.2017 19:33",5,5,2,4,2,6,6,6,6,3,4,5,5.166666667,3,4,4,3,3,3,4,4,3,5,3.666666667,3.666666667,1,2,4,"",3,2,1,2,1,1,1,1,1,"",1,"",2,2,1,1,2,1,1,4,"Die Lebenseinstellung sowie Situation der Zielgruppe, die Erwartungen an Gebete zu Gott und die qualitativen Erfahrungen mit den vermeindlichen Ergebnissen der Gebete. ",2,"",2,24,1,NA,8,6,18,40,56,5,76,299,9,10,527,NA,"19.03.2017 19:42",1,0,10,10,0,0,1.32,20,1.205153181868601
28,NA,"lukm33je",55,3864,"18.03.2017 23:05",3,1,4,4,3,6,4,4,5,2,3,7,4,2,3,3,3,4,1,4,3,3,3,2.666666667,3.333333333,1,4,4,"",1,4,2,2,1,2,1,1,1,"",1,"",5,2,2,1,2,2,2,4,"keine ahnung",2,"",2,24,1,NA,8,6,24,42,57,6,55,17,10,7,232,NA,"18.03.2017 23:09",1,0,10,10,0,0,1.64,39,1.380136523041864
397,NA,"nh7m7ac5",51,30974,"04.04.2017 16:56",4,3,4,3,3.5,1,3,5,4,1,3,4,2.833333333,4,3,4,3,3,5,3,4,2,4,3.666666667,3,1,4,5,"18",1,2,1,2,1,1,1,1,1,"",1,"",1,2,1,1,1,1,1,5,"Wieviele Menschen durch Gebet eine positive Lebenseinstellung haben",1,"Die Bilder mit den Tönden :)",1,24,1,NA,10,9,32,42,61,8,103,54,12,16,347,NA,"04.04.2017 17:02",1,0,10,10,0,0,1.09,7,1.4246188793147099
302,NA,"tfzdm1hm",43,18150,"21.03.2017 16:12",5,4,4,5,2.5,6,3,7,3,6,6,5,5.166666667,2,3,5,2,3,3,4,3,3,3,2.333333333,4,1,3,4,"",1,2,6,2,2,2,2,2,2,"Rosenkranz",1,"",3,2,1,1,2,2,1,3,"Schwer zu sagen. Die Zusammenschau der negativen Bilder mit den disharmonischen Bildern der positiven mit den harmonischen erinnerte mich eher an so Assoziationstests wo etwa abgeprüft wird ob jemand rassistisch ist, als auch gewisse Techniken zum behandeln von Dissoziationen von denen ich gehört habe, denn irgend was was mit Religion zu tun hat.",1,"- Schon vor dem Panel in dem man die Dauer der Gebetszeit angeben musste las ich die Anweisung so, als müsse ich da schon beten. Falls ihr also auf dem eigentlichen Panel die zeit gemessen habt, haut das nun hinten und vorne nicht hin.

- Die Kontrollfrag",2,24,1,NA,6,5,14,37,44,4,91,332,7,19,559,NA,"21.03.2017 16:22",1,0,10,10,0,0,1.45,27,1.1161721469034545
403,NA,"unwozv9x",49,48901,"09.04.2017 01:29",5,4,5,1,5,3,4,2,3,1,1,5,2.333333333,3,1,2,4,5,5,1,3,4,4,3.666666667,2.333333333,1,4,4,"",1,1,1,2,1,1,1,1,1,"",1,"",2,2,1,1,2,1,1,5,"Zusammenhang von Beten und Optimismus/Pessimismus",2,"",1,24,1,NA,5,5,8,33,36,5,47,29,12,14,194,NA,"09.04.2017 01:33",1,0,10,10,0,0,1.91,45,1.0842016022784533
153,NA,"5pc7936g",37,17304,"19.03.2017 20:48",5,4,3,3,3,5,3,5,2,1,2,7,3,4,4,2,4,4,3,2,5,1,4,4,1.666666667,1,3,5,"20",1,1,4,2,2,1,2,1,2,"Körpergebet",1,"",4,2,2,2,2,1,1,5,"Auswirkung von Gebet zu Gott im Leben von Menschen",2,"",2,25,1,NA,9,8,40,88,102,5,100,116,8,9,485,NA,"19.03.2017 20:57",1,0,10,10,0,0,1.11,13,0.7762528090065897
435,NA,"6jp051b6",48,5137,"26.04.2017 21:02",3,3,3,5,2,4,3,6,5,1,7,4,4.333333333,3,4,3,4,4,2,2,2,2,3,3.333333333,2.333333333,1,3,5,"21",1,1,3,2,2,1,2,1,1,"",1,"",6,2,2,2,2,2,2,5,"Ausdauer beim Beten, wie das Leben unser Gebetsleben beeinflusst. ",1,"Die abgehakten Akkorde, sich wiederholende Bilder. ",1,25,1,NA,10,10,15,44,44,7,62,58,11,5,266,NA,"26.04.2017 21:06",1,0,10,10,0,0,1.46,27,0.7451470520730389
87,NA,"b34l6m6q",47,591733,"19.03.2017 15:28",5,4,3,5,2,5,6,3,7,1,1,6,3.833333333,3,2,4,1,5,1,3,3,3,3,2.333333333,3.333333333,1,4,4,"",1,2,1,2,1,1,1,1,1,"",1,"",2,1,2,1,2,1,1,4,"",2,"",1,25,1,NA,18,8,27,62,87,9,94,12,15,6,338,NA,"19.03.2017 15:34",1,0,10,10,3,2,1.31,38,0.7033058308704249
268,NA,"bqsq98zk",54,3920,"20.03.2017 20:51",5,5,4,4,3,1,1,1,1,1,1,6,1,4,3,1,3,5,4,2,3,2,4,3.666666667,1.666666667,1,4,5,"18",1,2,6,2,2,1,2,2,2,"malen",2,"schreiben",6,2,2,2,2,2,2,5,"ob die Assoziation mit positiven/negativen Bildern einen Einfluss auf die Befindlichkeit und Glaubenszuversicht eines Menschen hat. Das vorherige Bewusst werden eines übernatürlichen Ankers auf das Vertrauen der eigenen Überzeugung und der Weltanschauung",1,"",1,25,1,NA,4,4,9,11,36,4,59,98,8,9,242,NA,"20.03.2017 20:55",1,0,10,10,3,2,2.05,64,0.7509037816023365
366,NA,"c2qbsxgm",55,906065,"25.03.2017 21:02",5,5,3,5,2,2,3,4,2,3,2,6,2.666666667,3,3,2,3,3,5,3,1,2,4,3.333333333,2.333333333,1,3,4,"",3,3,4,2,2,1,2,1,2,"Sprachengebet",1,"",5,2,2,2,2,1,2,4,"Ich bin mir nicht sicher... vielleicht wie sich Gebet auf unser Leben auswirkt. Ob Beten etwas nutzt.",1,"Die Bilder und Töne haben mich irritiert und deren Sinn erschließt sich mir nicht.",1,25,1,NA,21,89,19,94,113,9,129,129,17,24,565,NA,"25.03.2017 21:13",1,0,10,10,0,0,0.68,1,0.8189027404591582
33,NA,"x5d8mlqh",49,15600,"18.03.2017 23:23",3,4,2,4,2,7,7,6,6,7,6,7,6.5,4,3,4,3,3,1,2,3,3,3,3.333333333,3,1,3,4,"",2,2,4,2,2,2,2,1,1,"",1,"",3,2,1,1,1,2,2,4,"rituale übers beten
ist beten wichtig? 
",2,"",1,25,1,NA,5,11,11,23,48,10,46,28,12,4,198,NA,"18.03.2017 23:26",1,0,10,10,0,0,1.84,52,0.8005117865000817
216,NA,"xe9y4hy0",51,46205,"20.03.2017 08:29",5,4,3,2,3.5,7,5,3,2,1,1,7,3.166666667,5,2,2,5,4,3,2,3,1,5,5,1.666666667,1,3,4,"",3,1,2,2,2,1,1,1,1,"",1,"",3,2,2,1,2,1,1,5,"Ich vermute dass untersucht wird ob Menschen die zu Gott beten, eine zufriedenere oder optimistischere Einstellung in Ihrem Leben haben. Ob diese Menschen glücklicher sind als menschen die nicht ""Glauben/Beten"". ",1,"Der Hundekot der erst auf der Wiese lag und dann der Fuß der offensichtlich hinein tritt.
(In der Bilderfolge)
Das ist mir im Kopf geblieben.
Aber ""Scheiße bringt Glück"" :-)",2,25,1,NA,8,11,18,36,58,5,38,158,7,10,349,NA,"20.03.2017 08:34",1,0,10,10,0,0,1.44,25,0.8132326808630879
266,NA,"5722x349",39,4663,"20.03.2017 20:36",5,4,5,1,5,7,7,7,7,2,7,7,6.166666667,1,3,5,1,4,4,4,3,4,3,1.666666667,4.333333333,1,4,4,"",1,1,3,2,1,1,2,2,1,"",1,"",4,2,2,1,2,1,2,5,"Ob sich beten positiv oder negativ auf das Weltbild auswirkt.",1,"Gegensätzliche Bilder mit der dazu passenden Musik. ",1,26,1,NA,8,12,26,53,68,6,53,97,12,20,355,NA,"20.03.2017 20:42",1,0,10,10,0,0,1.09,7,0.6618748325780294
231,NA,"bvwxe4nc",51,637266,"20.03.2017 13:24",5,4,2,4,2,3,5,2,2,1,1,7,2.333333333,5,4,2,5,5,3,2,2,1,1,3.666666667,1.666666667,1,4,5,"20",1,5,5,2,2,1,2,2,2,"Gebete aus der Bibel",1,"",5,2,2,2,2,1,2,5,"Auswirkung von Gebet auf die Wahrnehmung von Situationen",2,"",1,26,1,NA,14,10,35,91,100,10,106,397,11,24,798,NA,"20.03.2017 13:37",1,0,10,10,0,0,0.75,1,0.6696029214759307
338,NA,"e61m4b83",50,1420999,"22.03.2017 21:35",5,5,2,2,3,2,1,1,4,1,2,6,1.833333333,4,5,3,4,4,4,4,5,3,3,3.666666667,3.333333333,1,3,5,"20",1,1,3,2,2,1,2,1,1,"",1,"",4,2,2,1,2,1,2,4,"Was beten für Menschen bedeutet und für Auswirkungen hat.",1,"Die Serie Bilder war eigenartig und lang",2,26,1,NA,8,29,46,101,100,6,119,100,10,17,536,NA,"22.03.2017 21:44",1,0,10,10,0,0,0.86,4,0.6668525646069418
