"CASE","SERIAL","REF","Pos","QUESTNNR","MODE","STARTED","LA01_01","LA01_02","LA01_03","LA01_04","LA01_05","LA01_06","LA01_07","BF01_01","BF01_02","BF01_03","BF01_04","BF01_05","BF01_06","BF01_07","BF01_08","BF01_09","BF01_10","PT01_01","PT01_02","PT02_01","PT02_02","PT03","PT04_01","PT05_01","TIME001","TIME002","TIME003","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
24,NA,"5117lk",55,"base","interview","18.10.2016 18:11",4,3,3,2,4,3,5,4,4,3,4,4,4,4,5,4,3,5,4,3,4,2,21,"Möglicherweise ob ich hoffnungsvoll oder eher niedergeschlagen bin, nachdem ich bestimmte Fotos gesehen habe und emotionalisiert bin. Ich habe positive und negative Fotos gesehen, andere vielleicht nur positive oder nur negative",73,54,124,251,NA,"18.10.2016 18:15",1,0,3,3,0,0,0.8,0,0.503236994649969
25,NA,"2sau7j",47,"base","interview","18.10.2016 18:11",5,4,5,4,3,3,5,5,4,4,2,4,4,2,4,1,4,4,4,4,5,1,20,"Inwiefern der Satz ""alles wird gut"" die negativen Bilder, die gezeigt wurden, beeinflusst bzw. inwiefern sich negative Assoziationen zu Bildern sich bewusst von mir verändern lassen.",40,61,149,250,NA,"18.10.2016 18:15",1,0,3,3,0,0,0.9,3,0.4680527213917542
26,NA,"f9t473",54,"base","interview","18.10.2016 18:11",5,4,3,4,1,2,3,2,4,2,4,4,2,3,4,4,4,5,5,3,4,2,38,"Die Wirkung von Bildern und Tönen auf die Stimmung",71,92,113,276,NA,"18.10.2016 18:16",1,0,3,3,0,0,0.7,0,0.5024154126907568
27,NA,"62s7eb",48,"base","interview","18.10.2016 18:11",6,6,7,6,2,3,7,2,4,5,4,5,4,3,5,4,5,5,5,4,1,1,35,"Die Reizschwelle bzw. die Grenze ab der alles gleichgültig wird und man die Motivation und positive Einstellung aufgibt",47,58,92,197,NA,"18.10.2016 18:15",1,0,3,3,0,0,0.99,1,0.4761205309353017
28,NA,"2a5zf2",50,"base","interview","18.10.2016 18:11",2,3,6,5,1,4,5,3,4,2,5,4,4,2,4,4,5,5,2,4,3,1,21,"Wie die Tonhöhen und positiven und negtiven Eindrücke die Stimmung und Einstellung von uns beeinflussen?",65,46,91,202,NA,"18.10.2016 18:15",1,0,3,3,0,0,0.98,3,0.46964511955700927
29,NA,"sl3bw2",55,"base","interview","18.10.2016 18:11",4,3,3,6,2,6,5,4,1,5,5,3,3,2,5,4,3,5,2,4,2,1,21,"Veränderung der Lebenseinstellung durch äußere Einflüsse",50,50,97,197,NA,"18.10.2016 18:15",1,0,3,3,0,0,1,1,0.5182618815044534
30,NA,"bf0nxk",42,"base","interview","18.10.2016 18:12",4,3,3,3,1,1,7,5,5,2,3,5,5,3,1,2,5,5,5,5,1,1,28,"den Einfluss von pozitiven gedanken auf den zufall",40,43,65,148,NA,"18.10.2016 18:14",1,0,3,3,0,0,1.3,15,0.4414722149840898
31,NA,"5mhzs3",55,"base","interview","18.10.2016 18:12",4,5,3,3,1,4,7,4,5,3,4,3,3,4,3,3,5,5,5,3,2,1,40,"",64,88,81,233,NA,"18.10.2016 18:16",1,0,3,3,4,4,0.85,3,0.4836755142190792
32,NA,"rxtvfx",43,"base","interview","18.10.2016 18:14",6,6,5,7,5,5,7,2,4,3,3,2,3,3,4,3,3,5,5,3,4,1,42,"Die Emotionen.",59,54,43,156,NA,"18.10.2016 18:16",1,0,3,3,0,0,1.34,21,0.4224307375743605
34,NA,"46yctm",51,"base","interview","18.10.2016 18:28",2,2,5,4,1,2,2,2,3,2,4,3,2,4,4,4,5,4,3,2,4,1,18,"Auswirkungen von emotional besetzten Bildern mit entspr. Ton auf die (pos./neg.) Selbsteinschätzung",61,37,130,228,NA,"18.10.2016 18:32",1,0,3,3,0,0,0.98,7,0.42504385255633303
35,NA,"avq5hk",45,"base","interview","18.10.2016 18:29",5,5,1,3,2,2,6,2,4,3,4,1,3,2,5,4,3,4,4,2,4,2,19,"Der Einfluss visueller Reize auf das innere Wohlbefinden bzw. auf die innere Einstellung zum Leben. Zudem soll untersucht werden, wie lange ein Mensch sich auf eine bestimmte Aufgabe durchgehend konzentrieren kann.",77,66,164,307,NA,"18.10.2016 18:34",1,0,3,3,0,0,0.67,0,0.3857464232081294
36,NA,"dqu0d5",58,"base","interview","18.10.2016 18:29",4,3,4,5,1,1,5,2,4,3,5,4,3,3,5,5,4,5,5,4,3,1,21,"Konzentrationsfähigkeit; wie schnell man sich langweilt, wenn man immer wieder die gleichen Bilder zu sehen bekommt; kurzfristige Wirkung von Mantras",44,46,138,228,NA,"18.10.2016 18:33",1,0,3,3,0,0,0.97,4,0.4475008032592994
37,NA,"ntbu2b",50,"base","interview","18.10.2016 18:29",4,5,4,6,6,4,2,4,4,3,4,4,4,3,5,3,5,5,4,2,5,2,18,"Positive/Negative Einstellung bzw. Weltbild nach den gezeigten Bildern",207,92,130,270,NA,"18.10.2016 18:36",1,0,3,3,0,0,0.51,0,0.44252875850210066
38,NA,"ucjvt0",50,"base","interview","18.10.2016 18:29",6,6,4,7,1,1,6,2,2,3,3,2,3,2,3,4,4,5,3,2,3,2,18,"Einwirkung von Determination auf eigene Einschätzung",46,71,81,198,NA,"18.10.2016 18:32",1,0,3,3,0,0,0.99,4,0.4377030193394514
39,NA,"1xog6o",49,"base","interview","18.10.2016 18:29",6,3,5,6,1,3,6,2,4,2,4,4,4,2,4,3,5,4,2,2,4,1,20,"Wie eher positive oder negative menschen im Leben mit Situationen umgehen.",81,66,73,220,NA,"18.10.2016 18:33",1,0,3,3,0,0,0.9,5,0.42497499870540456
40,NA,"g2jewj",47,"base","interview","18.10.2016 18:29",6,2,2,4,1,3,6,4,4,4,2,1,5,2,4,2,3,5,4,2,3,2,21,"Auswirkungen von postitiven und negativen Eindrücken auf die Selbsteinschätzung",48,67,59,174,NA,"18.10.2016 18:32",1,0,3,3,0,0,1.14,11,0.39829381402459313
41,NA,"1d0yf6",62,"base","interview","18.10.2016 18:29",3,6,2,4,3,6,4,4,2,3,1,5,4,1,4,2,2,5,4,4,4,1,19,"ob sich Emotionen aufgrund von Bildern (visuellen Erscheinungen) verändern lassen",56,87,91,234,NA,"18.10.2016 18:33",1,0,3,3,0,0,0.84,1,0.5047844769138224
42,NA,"fxava7",47,"base","interview","18.10.2016 18:29",1,1,2,2,1,1,1,4,1,4,4,3,1,2,1,2,2,5,3,2,1,1,18,"Die Stressbelastung durch tragische Bilder",55,77,76,208,NA,"18.10.2016 18:33",1,0,3,3,0,0,0.94,5,0.472909967051332
