"X.ŽèVP_Nummer","Geschlecht","Alter","Beruf","Ergebnis","Tipp","Treffer","Eregbnis.2","Tipp.2","Treffer.2","Treffer_insgesamt","Wechselgrund","Frage2","Frage3","Frage4","Frage5","Frage6","Frage7","Frage8","Frage9","Raucher","VAR00001","Testleiter","Wechsel","ReihenfolgeWechsel","GewinnWunsch","BF"
28,0,32,1,46,1,54,48,1,52,106," ",5,1,4,2,2,2,1,NA,NA," ",3,0,NA,1,0.8310925730432591
29,0,21,0,47,1,53,48,1,52,105," ",3,1,4,2,1,2,1,NA,NA," ",3,0,NA,0,0.8829749249701844
30,0,21,0,40,1,60,47,1,53,113," ",5,1,2,4,2,2,1,NA,NA," ",3,0,NA,0,1.0383447021370176
31,1,35,0,50,0,50,46,1,54,104,"Weil mir beide Seiten gleich gut gefallen",5,2,5,1,4,3,3,5,0," ",4,1,0,1,1.098767525407961
32,0,21,0,42,0,42,47,0,47,89," ",5,2,5,3,5,3,4,4,1," ",4,0,NA,1,0.9199771160766675
33,0,20,0,45,1,55,55,1,45,100," ",5,3,5,4,4,4,4,3,0," ",4,0,NA,1,0.9171048930485723
34,1,23,0,47,1,53,54,0,54,107,"Nach 1. Durchgang Gef’_hl Zahl w’_re h’_ufiger gewesen",5,4,4,4,3,3,4,2,1," ",4,1,1,1,1.0020419170937447
35,1,24,1,48,0,48,48,0,48,96," ",5,2,3,2,2,3,3,1,0," ",4,0,NA,0,0.9431464286038254
36,1,22,1,54,0,54,59,0,59,113," ",5,3,4,3,4,3,3,1,0," ",4,0,NA,1,1.1084974926360587
37,0,22,1,41,0,41,52,0,52,93," ",5,2,3,2,4,3,3,3,0," ",4,0,NA,1,0.993908534511784
38,1,23,1,51,1,49,59,1,41,90," ",5,1,1,1,4,2,1,1,0," ",4,0,NA,0,0.8628457513032548
39,1,22,0,58,1,42,52,1,48,90," ",5,1,5,4,4,4,3,2,0," ",4,0,NA,1,0.7620775359239885
40,1,25,1,53,0,53,52,0,52,105," ",5,1,4,3,4,2,2,3,0," ",4,0,NA,1,0.8018915207092381
