"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","bf","date"
122,"11/16/2017 10:10:56",5,2,24,1,2,3,4,4,4,3,4,2,3,5,4,5,5,4,4,4,5,4,3,5,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,4,4,5,3,5,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,5,4,2,3,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,4,2,4,3,2,1,1,1,2,1,2,3,3,3,1,1,1,1,2,1,"MÃ¶glicherweise war das Ziel der Studie, die Konnotation von WÃ¶rtern zu Bildern und Emotionen oder die emotionale Verfassung nÃ¤her zu untersuchen.",2,3,1.5,2.25,2,2,2,3,1.5,2,1.5,2,1.25,1.66666666666667,1.4,1.4,1,2.66666666666667,1.6,1,2.66666666666667,2.5,2,1.97619047619048,1.8037037037037,1.88994708994709,NA,0,NA,"2017/11/16 10:10:56"
123,"11/16/2017 10:13:40",5,1,20,1,2,4,4,4,3,2,5,5,4,3,5,2,1,2,5,5,2,2,3,1,4,3,3,3,3,4,3,4,5,4,1,3,1,4,4,4,2,4,3,4,2,2,4,2,4,4,4,5,3,4,4,5,2,3,4,2,2,1,2,1,2,3,1,3,4,4,1,3,4,4,4,5,5,1,3,4,4,5,4,1,3,2,2,4,2,4,2,4,5,1,4,2,1,2," ",3.4,1.5,1.5,2.5,1.75,3,2,3.5,4.5,2.75,3.5,1.6,3.75,3.33333333333333,4.4,1,2,2,2.2,3.5,4,4,3.25,2.75595238095238,2.92777777777778,2.84186507936508,NA,1,0.7882523526552194,"2017/11/16 10:13:40"
125,"11/16/2017 10:29:15",5,2,23,1,4,5,4,4,3,4,4,4,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,3,3,3,3,4,5,4,4,4,2,3,3,4,4,4,3,2,3,4,4,4,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,1,1,3,2,2,2,4,2,2,3,4,2,2,2,2,2," ",1.6,2.25,2.5,2.25,2,2.75,2.25,2,2.5,2.5,3,2.8,2.5,2,2,2,2,2.66666666666667,2.4,2.25,2,2,2,2.35,2.1462962962963,2.24814814814815,NA,1,0.7728875792562151,"2017/11/16 10:29:15"
135,"11/20/2017 16:09:48",7,1,24,3,3,5,4,4,3,2,5,3,3,4,4,3,3,2,2,4,4,4,4,5,5,4,3,5,3,3,3,4,2,4,2,3,3,4,4,3,5,3,4,2,4,5,4,5,5,5,4,3,2,4,4,4,3,3,4,3,5,1,2,1,1,2,1,1,2,2,1,3,3,3,3,1,1,1,2,2,4,3,1,1,1,2,2,3,2,2,3,2,1,1,2,1,1,1,"nredliB ned ieb gnudnifpmE revitagen dnu gnuztÃ¤hcsnietsbleS revitagen nehcsiwz gnahnemmasuZ",1.4,2,2.25,3,1.5,3.25,2.25,2.5,2.75,2.5,1.75,3.2,1.5,3.66666666666667,1.4,1,1.5,2,1.4,2,3,2.25,2.25,2.39404761904762,1.86666666666667,2.13035714285714,NA,0,NA,"2017/11/20 16:09:48"
136,"11/20/2017 16:09:49",5,1,23,1,5,5,5,3,3,3,5,5,4,5,3,2,4,4,4,4,5,3,5,4,5,5,3,3,3,1,3,4,3,5,3,1,5,3,4,3,5,5,5,1,4,4,3,5,5,5,3,2,5,5,5,5,5,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"Keine Ahnung",2.6,1,1.75,2,1.25,2.5,3,1,2.25,2.25,2.5,3,1.5,4.33333333333333,1,1,1,1,1.2,1,1,1,1,2.20952380952381,1.02222222222222,1.61587301587302,NA,0,NA,"2017/11/20 16:09:49"
137,"11/20/2017 16:09:54",2,2,34,1,5,4,4,5,3,5,4,4,4,4,4,4,5,2,4,4,4,4,5,4,4,3,3,4,3,4,4,4,4,4,3,4,5,4,4,2,2,4,5,4,4,4,4,3,4,4,5,4,3,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,"-",3,2,2,3,2,2.75,1.75,1.25,1.5,1.75,2,2.2,2,2.33333333333333,2,1,1,1.33333333333333,1,1,1.66666666666667,1,1,2.10952380952381,1.22222222222222,1.66587301587302,NA,0,NA,"2017/11/20 16:09:54"
139,"11/20/2017 16:11:19",8,1,21,1,3,3,3,4,3,3,4,4,3,3,4,4,2,1,3,4,2,4,3,3,4,3,2,5,3,3,3,5,2,3,2,3,4,4,5,4,1,4,4,4,3,3,3,1,3,4,4,4,3,4,4,4,3,3,4,4,1,2,2,1,2,1,4,1,1,3,1,1,1,1,1,5,3,2,4,3,1,2,3,1,1,1,1,1,1,3,3,3,4,2,5,1,2,2,"Zusammenhang zwischen EkelgefÃ¼hl und derzeitigem emotionalen Befinden",4.2,2.25,2,3.25,1.75,3,2.25,2.75,2.5,2.25,2.25,3.2,3.25,3,3.2,2.2,1,3,1.8,1,2.33333333333333,2.5,1.5,2.70714285714286,2.05925925925926,2.38320105820106,NA,1,0.9369269654874228,"2017/11/20 16:11:19"
140,"11/20/2017 16:13:36",6,1,22,1,4,5,5,5,4,4,4,5,4,4,5,3,4,4,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,3,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,"unbewusstsein",1.2,1.75,1.25,1.75,1.5,2,1.25,1.75,1.25,1.25,2,1.4,1.25,1.66666666666667,1.4,1.2,1.25,1.33333333333333,1.6,1,2.33333333333333,1.5,1.5,1.51904761904762,1.45740740740741,1.48822751322751,NA,0,NA,"2017/11/20 16:13:36"
141,"11/20/2017 16:19:56",7,1,26,1,4,5,3,3,3,2,4,3,3,3,2,4,4,2,3,2,3,3,4,3,4,3,3,2,4,3,3,3,3,4,2,4,3,3,4,3,5,3,4,3,3,3,4,4,3,4,4,4,3,3,3,4,3,4,4,3,5,2,3,2,2,2,2,3,4,3,3,4,3,3,3,4,2,3,3,2,3,2,3,3,4,3,2,3,3,3,2,2,4,2,3,2,3,4,"Welche Auswirkungen bestimmte Szenarien z.B. verliebte Paare bzw. fast verhungerte junge Menschen auf unsere Emotionen (Selbstwert, Ekel) haben.",1.4,2.25,3.5,3.25,2.5,2.75,2.75,2.25,2.75,2.75,3,2.6,3,3,2.8,2.6,2.25,2.33333333333333,2.8,3.25,3,3,3.25,2.69642857142857,2.80925925925926,2.75284391534392,NA,1,1.069695047476845,"2017/11/20 16:19:56"
142,"11/20/2017 16:20:05",6,1,24,1,1,3,2,4,2,2,2,2,1,2,2,2,3,2,3,4,2,5,4,3,4,3,3,1,2,3,4,4,4,1,2,1,3,4,3,3,1,3,4,4,3,2,3,3,2,2,3,3,2,4,4,2,4,4,4,4,1,1,4,3,1,1,1,1,3,2,3,4,3,2,2,3,2,2,2,2,2,4,4,2,1,1,2,2,3,4,2,2,2,2,4,1,1,1,"Den unbewussten Einfluss von positv/ negativ assoziierten Bilder zu erforschen",4.2,4.25,2.75,4,2.5,3.5,2.25,2.75,2.25,3.25,4.25,2.8,3.5,2.66666666666667,2.4,1.6,1.5,2,1.8,1.5,3,3.25,3.25,3.20833333333333,2.25555555555556,2.73194444444444,NA,1,1.1595165314916362,"2017/11/20 16:20:05"
143,"11/20/2017 16:23:10",3,1,21,1,4,4,3,5,3,3,4,5,4,2,4,2,2,4,4,4,2,3,2,3,4,2,3,3,3,4,2,3,4,4,2,2,4,4,3,5,1,4,3,4,2,2,3,2,2,4,4,3,3,4,4,4,4,4,4,4,1,2,4,2,4,2,2,2,5,4,2,5,4,4,5,5,3,2,2,4,2,3,3,2,3,2,4,4,2,4,2,2,4,2,4,2,4,2,"die Zufriedenheit mit dem eigenen Leben in Zusammenhang mit Empfindlichkeit gegenÃ¼ber unangenehmen Bildern",4,1.75,2,2,2.25,3.25,1.75,2.75,2.75,3,3.75,2.6,3.75,2.66666666666667,3.6,2.4,2,2,2.4,3.25,3.33333333333333,4.25,4.5,2.73333333333333,3.08148148148148,2.90740740740741,NA,1,0.9589206015877068,"2017/11/20 16:23:10"
145,"11/20/2017 16:24:19",8,1,22,1,3,3,3,5,2,3,4,5,3,3,3,3,2,2,5,3,5,3,3,4,4,3,5,3,2,5,3,4,5,4,3,5,3,5,3,3,2,4,4,4,4,3,5,5,4,4,4,5,3,4,4,5,4,4,5,3,5,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,4,3,4,1,1,1,2,2,1,1,1,1,3,1,2,2,2,1,1,1,"in wieweit eine Partnerschaft einen glÃ¼cklich macht ?",2,1.5,2.5,3.25,2,3.5,1,2.5,3.25,2.75,3,1,1.75,2.33333333333333,1.8,1.2,1.25,3,1,1.5,2.66666666666667,1.25,1,2.30952380952381,1.62962962962963,1.96957671957672,NA,0,NA,"2017/11/20 16:24:19"
146,"11/20/2017 16:56:11",4,1,21,1,5,4,4,4,4,3,4,5,5,5,5,2,4,4,4,5,4,2,5,5,5,4,5,2,5,5,4,4,5,5,3,2,4,5,5,4,1,5,4,5,4,3,4,1,4,5,5,4,5,5,5,5,4,5,5,3,1,1,1,1,1,2,3,3,2,1,3,2,4,1,1,1,2,1,1,4,3,1,2,1,2,1,1,2,2,1,2,2,2,2,5,1,2,1,"Angstforschung, negative Emotionen, Ekel, Wunschdenken",4.2,1,1,1.75,1.5,1.5,1.25,1.5,2.75,1.75,3,1.6,1.75,1.66666666666667,2.2,2,1.25,1.66666666666667,1.4,2,4,1,1.5,1.87261904761905,1.89074074074074,1.88167989417989,NA,0,NA,"2017/11/20 16:56:11"
147,"11/20/2017 16:56:32",5,1,22,1,3,4,4,4,3,4,4,4,4,4,3,2,3,3,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,4,3,3,3,3,4,4,2,4,3,3,3,4,4,2,3,4,4,3,3,4,4,4,3,4,4,3,2,2,2,2,2,1,2,1,2,2,2,2,4,2,2,2,1,2,3,3,3,2,2,2,2,2,1,2,3,2,2,2,4,3,3,1,2,3,"Das AuslÃ¶sen von GefÃ¼hlen durch Konnotationen.",3.4,2,2.25,2.25,2.25,3,2.25,2.75,2.75,2,2.75,2.4,2.75,2.66666666666667,2.4,2,1.5,2.66666666666667,2.4,1.75,3.33333333333333,2,1.75,2.53333333333333,2.2,2.36666666666667,NA,1,0.9539334676138141,"2017/11/20 16:56:32"
148,"11/20/2017 16:56:41",2,1,21,1,3,5,5,4,3,5,5,5,4,2,2,1,2,3,5,3,1,2,3,4,4,3,3,2,2,1,2,3,4,5,1,5,2,2,2,4,5,4,3,3,2,3,3,5,2,5,4,3,3,3,4,4,4,4,3,2,5,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,4,2,4,1,1,3,1,1,1," ",1,1.25,3,2,2,3.5,3.5,2.75,4,2.5,4,2.4,3.75,3.33333333333333,1,1.2,1,1.33333333333333,2,1.75,2,1,2.5,2.78452380952381,1.53148148148148,2.15800264550265,NA,0,NA,"2017/11/20 16:56:41"
149,"11/20/2017 16:56:47",5,1,26,1,5,5,3,4,4,2,5,4,3,5,2,2,5,3,2,2,5,5,5,5,5,4,2,4,4,1,4,5,3,2,1,2,5,2,4,4,5,2,5,2,5,5,2,5,5,4,5,3,4,3,5,4,5,1,3,5,5,1,1,1,2,1,1,2,1,1,1,1,3,1,3,1,1,1,1,5,1,1,2,2,1,1,1,1,3,1,1,1,4,1,2,1,1,1,"Bewertung der WÃ¶rter aufgrund der Emotionen, die die Bilder auslÃ¶sen",1.6,2.5,3.75,2.75,1,2,3.5,1,1,2.25,2,3.6,1,4.66666666666667,2.6,1,1,1,1.8,1.25,2,1.5,1,2.3297619047619,1.46111111111111,1.89543650793651,NA,0,NA,"2017/11/20 16:56:47"
154,"11/20/2017 16:58:12",4,1,25,1,4,3,3,4,3,4,4,5,4,4,4,3,3,2,4,4,3,4,4,3,5,5,3,2,3,4,3,4,5,3,3,2,3,4,5,4,2,4,5,4,4,3,4,1,3,2,4,3,3,4,4,3,3,4,5,4,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2,4,3,3,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,3,"Zusammenhang der Schnelligkeit beim weiterdrÃ¼cken der Bilder im letzten Teil mit emotionaler Verfassung.",4.2,2.75,2,2.75,1.75,3,1.75,2,2.5,1.5,3,2.2,2.75,2.33333333333333,1.6,1.4,1.75,2.33333333333333,1.6,1,2,1.5,2,2.46309523809524,1.68703703703704,2.07506613756614,NA,0,NA,"2017/11/20 16:58:12"
155,"11/20/2017 16:58:43",5,1,40,1,4,5,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,5,5,5,4,4,4,1,2,2,3,3,4,4,3,4,3,2,4,2,5,5,5,3,3,3,4,5,5,4,5,4,4,4,4,4,5,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,"Emotionen erregen",1.2,2,2,2.5,2.25,3,3,1.25,2,1.75,3.5,2,1.75,2.66666666666667,1,1,1.5,1.33333333333333,1.2,1,1.33333333333333,1,1,2.2047619047619,1.15185185185185,1.67830687830688,NA,0,NA,"2017/11/20 16:58:43"
165,"11/23/2017 8:49:57",3,1,24,1,3,4,3,4,3,4,3,4,2,4,4,4,4,3,2,4,4,5,4,4,4,3,3,2,2,4,3,4,2,2,3,4,4,4,4,3,4,4,4,4,4,3,2,4,3,2,4,2,3,4,3,2,4,3,4,4,4,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,4,2,3,2,4,2,2,2,2,4,2,2,4,4,2,2,4,2,2,2,2,2," ",2,3.5,2,3.25,2.5,3.25,2,2.25,1.75,2.25,2.75,3.8,2.25,2.66666666666667,2.8,2,2.5,2.33333333333333,2.4,2,3.33333333333333,2,2.75,2.58690476190476,2.45740740740741,2.52215608465608,NA,1,0.8213990347856548,"2017/11/23 08:49:57"
166,"11/23/2017 8:49:57",5,2,18,3,4,3,2,4,3,4,4,5,3,4,4,2,4,3,4,4,5,4,4,4,4,4,5,3,2,5,3,4,5,3,5,4,5,5,4,4,1,4,3,4,4,4,5,3,4,4,4,3,4,4,3,4,2,5,4,4,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,3,2,4,2,1,2,2,3,2,2,2,1,2,2,4,2,2,1,2,1,"ZusammenhÃ¤nge zwischen PersÃ¶nlichkeit und Emotionen zu finden",3.4,2,2,3,2.25,3,1.5,2.75,1.75,2,2.75,1.6,1.75,1.33333333333333,2.2,1.2,1.5,2.33333333333333,1.6,1.75,2.33333333333333,1.25,1.5,2.2202380952381,1.74074074074074,1.98048941798942,NA,0,NA,"2017/11/23 08:49:57"
167,"11/23/2017 8:50:04",5,1,24,1,4,4,3,4,3,4,3,3,4,4,3,1,4,2,2,3,4,4,3,4,3,4,4,2,3,3,3,4,4,3,2,1,4,3,3,3,4,3,4,3,4,4,3,3,4,3,5,3,3,4,3,3,2,3,3,4,3,4,2,1,1,1,3,1,2,2,3,2,3,1,1,2,1,3,1,4,3,1,1,1,1,1,1,2,2,1,3,1,3,1,3,1,3,1," ",3,3,2.75,3,2.75,3,2.75,2.75,2,2,3.25,2.8,2,3.33333333333333,2.2,3.2,1,1.66666666666667,1.2,1.25,3,1.5,1.5,2.74166666666667,1.83518518518519,2.28842592592593,NA,1,0.8146299320996091,"2017/11/23 08:50:04"
168,"11/23/2017 8:50:11",6,1,26,1,4,3,4,5,3,4,5,5,4,5,3,5,4,4,3,4,5,5,4,5,4,4,4,5,3,4,3,4,4,3,4,2,4,4,5,5,1,4,5,4,4,4,3,1,4,5,5,3,3,4,4,3,5,5,4,4,1,2,1,1,1,1,2,1,1,1,1,1,4,1,2,1,4,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,3,1,2,1,1,2,"Einordnung der eigenen Person in Bezug auf das soziale GefÃ¼ge und Test wie mit schnell unangenehmen Situationen (Bildern) ausgewichen wurde.",4.4,2,2.25,1.75,1.75,3,1.75,1.5,1.75,1.5,1.25,2.6,1.5,1.66666666666667,2.4,1.4,1,1,1.8,1,2.66666666666667,1.25,1,2.04761904761905,1.50185185185185,1.77473544973545,NA,0,NA,"2017/11/23 08:50:11"
