"CASE","Datum","Uhrzeit","DE01","DE01_03","DE02_01","DE03","DE04","DE04_02","DE04_03","DE06","DE07","DE05","DE05_06","DE09","DE09_08","DE10","DE10_02","DE18","PA01_01","PA01_02","PA01_03","PA01_04","PA01_05","PA01_06","PA01_07","PA01_08","PA01_09","PA02_10","PA02_11","PA02_12","PA02_13","PA02_14","PA02_15","PA02_16","PA02_17","PA02_18","CPUI_Score","PE02_01","PE02_02","PE02_02r","PE02_03","PE02_03r","PE02_04","PE02_05","PE02_06","PE02_07","PE02_07r","PE02_08","PE02_08r","PE02_09","PK01","PK02","PK03","PK04","PK05","PT01","PT02","PT03","PT04_01","SC01","SW01_01","SW01_02","SW01_03","SW01_04","SW01_05","SW02_06","SW02_07","SW02_08","SW02_09","SW02_10","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","sums","BF"
496,"20.12.2017","20:08:41",2,"",24,1,2,6,NA,4,NA,1,"",7,"",1,"",276,1,3,1,3,5,3,3,1,1,6,1,2,1,4,1,1,3,2,"2.333333333",4,1,5,2,4,3,3,3,4,2,3,3,2,1,5,4,1,1,2,4,3,"",2,2,3,3,3,3,3,3,3,3,3,"43089.84595",1,0,13,13,2,1,1.32,21,23,0.6411828295447897
497,"20.12.2017","20:25:10",2,"",26,1,1,NA,NA,NA,4,1,"",5,"",1,"",-1,3,5,1,5,1,6,6,6,6,6,4,4,6,NA,4,3,2,1,"4.058823529",5,1,5,2,4,3,5,3,1,5,1,5,2,1,2,3,1,1,2,4,4,"Konzentration, Selbstbeherschung, Sucht, Erotik
",2,3,3,2,3,3,3,3,3,3,3,"43089.85825",1,0,13,13,2,2,0.76,1,25,0.6315101607871455
499,"20.12.2017","21:41:36",2,"",23,1,1,NA,NA,NA,5,2,"",5,"",1,"",276,1,1,1,1,1,1,5,1,1,6,1,2,1,5,2,1,2,2,"1.944444444",3,1,5,2,4,5,4,1,3,3,3,3,2,1,3,5,2,2,2,4,4,"Ob Pornographie eine Auswirkung auf das Selbstbewusstsein hat?",2,4,4,4,3,4,4,4,4,4,4,"43089.91225",1,0,13,13,0,0,0.81,5,22,0.5857204378927126
502,"20.12.2017","22:03:39",1,"",24,1,3,NA,3,2,NA,1,"",7,"",1,"",276,1,1,1,1,1,1,6,1,4,3,1,1,1,1,1,1,1,1,"1.555555556",3,1,5,5,1,4,2,1,5,1,4,2,1,1,7,5,1,1,2,4,4,"",2,3,3,3,2,3,3,3,3,3,3,"43089.93119",1,0,13,13,2,1,0.61,5,26,0.5904287350132701
503,"20.12.2017","22:33:44",1,"",23,1,1,NA,NA,NA,3,1,"",7,"",1,"",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,2,4,2,4,3,3,3,4,2,2,4,1,2,NA,NA,NA,1,2,4,3,"",2,3,3,3,2,3,3,3,3,2,3,"43089.94353",1,0,13,13,3,2,1.48,27,25,0.582393983011747
506,"20.12.2017","23:37:07",1,"",21,1,2,7,NA,4,NA,1,"",5,"",2,"Katholizismus",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,1,5,1,5,4,2,1,3,3,3,3,1,2,NA,NA,NA,1,3,4,4,"",2,3,3,3,3,3,3,4,3,3,3,"43089.989",1,0,13,13,3,2,0.99,10,23,0.5512353743387183
508,"21.12.2017","00:27:19",1,"",25,1,1,NA,NA,NA,5,1,"",7,"",2,"Christentum",276,1,1,1,1,1,2,2,1,7,7,1,1,1,1,1,1,1,1,"1.777777778",2,1,5,4,2,1,4,2,5,1,2,4,2,1,7,5,1,1,2,4,4,"Wie sich Pormografie bzw. je nach Beantwortung von Frage 20 erotische Stimulation auf das Selbstbewusstsein auswirkt",2,3,3,3,3,3,3,3,3,3,3,"43090.02472",1,0,13,13,0,0,1.09,9,24,0.5326114387379103
512,"21.12.2017","09:06:43",2,"",24,1,1,NA,NA,NA,4,2,"",5,"",2,"Evangelisch ",276,1,2,1,2,3,2,4,2,2,6,3,5,4,1,3,1,4,2,"2.666666667",4,2,4,5,1,2,2,3,4,2,2,4,2,1,3,3,2,2,3,4,4,"",2,4,4,4,3,4,4,4,4,3,4,"43090.3863",1,0,13,13,2,1,1.09,11,31,0.6163090781143827
523,"21.12.2017","14:25:15",2,"",27,1,2,10,NA,4,NA,3,"",5,"",2,"Polytheistisch, Naturreligion",276,1,1,1,2,1,1,1,1,1,7,1,1,1,1,7,1,1,2,"1.777777778",2,1,5,4,2,1,5,2,1,5,1,5,3,1,5,4,1,1,2,4,3,"Selbsteinschätzung vor und nach dem Betrachten pornographischen Materials, Veränderungen dadurch und die Auswirkung auf mein Leben von Konsum pornographischen Materials. 
Ob mein Gehirn aus Material das keinerlei pornographischen Inhalte enthält mit Porngraphie in Verbindung bringt. 
Suchtfaktoren in der Realität und in Selbsteinstimmung",2,3,3,3,2,2,1,1,2,2,2,"43090.609",1,0,13,13,0,0,1.05,8,23,0.5838435132181847
524,"21.12.2017","15:33:26",2,"",23,1,2,9,NA,4,NA,1,"",7,"",1,"",276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"4",5,1,5,3,3,3,4,2,3,3,1,5,2,1,4,4,1,1,NA,NA,NA,"",2,3,4,4,3,4,NA,NA,NA,NA,NA,"43090.65177",0,0,12,12,0,0,1.79,41,32,0.6892420649845754
527,"21.12.2017","15:51:09",1,"",30,1,1,NA,NA,NA,4,3,"",7,"",1,"",276,6,6,5,6,3,3,3,3,6,7,4,4,6,3,5,3,5,5,"4.611111111",4,1,5,3,3,5,5,5,3,3,1,5,2,1,3,2,3,3,1,4,1,"",2,2,2,3,2,2,2,2,2,2,2,"43090.66753",1,0,13,13,2,1,0.9,8,26,0.7007442897175141
529,"21.12.2017","16:41:16",1,"",21,1,2,10,NA,2,NA,1,"",5,"",2,"Katholisch",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,5,5,1,1,3,1,1,5,1,5,1,2,NA,NA,NA,1,2,4,4,"Was Erotik in Form von Bildern in uns auslöst und ob diese Bilder schon genauso zu unserem Alltag dazu gehören wie die anderen Gegenstände die auf den Bildern gezeigt wurden wie beispielsweise der Schirm.",2,3,3,3,3,3,3,3,3,3,3,"43090.70176",1,0,13,13,0,0,1.07,12,35,0.8819521087534816
530,"21.12.2017","17:16:13",2,"",21,1,1,NA,NA,NA,3,1,"",5,"",1,"",276,2,1,1,1,3,5,5,4,2,7,2,2,2,2,2,2,5,1,"2.722222222",4,1,5,1,5,4,4,4,2,4,2,4,3,1,2,3,1,1,2,4,3,"",2,2,2,1,2,2,1,2,2,2,2,"43090.72692",1,0,13,13,2,1,1.2,18,31,1.017902368419394
531,"21.12.2017","18:19:20",2,"",26,1,3,NA,2,4,NA,3,"",7,"",1,"",276,1,2,1,2,4,4,4,1,2,6,2,2,2,1,7,1,1,2,"2.5",5,1,5,1,5,3,2,1,5,1,4,2,1,1,4,4,1,3,3,4,3,"Pornographiekonsum versus Selbstsicherheit, kurzfristig?",2,3,4,3,3,4,3,3,3,2,3,"43090.76902",1,0,13,13,0,0,1.16,11,22,0.9307001533318181
532,"21.12.2017","20:10:51",1,"",26,1,3,NA,8,2,NA,1,"",6,"",1,"",276,1,1,1,6,3,4,3,1,1,7,1,1,2,2,1,1,3,3,"2.333333333",5,1,5,2,4,5,5,5,4,2,1,5,4,1,3,3,1,1,2,4,4,"",2,3,3,3,2,3,3,4,3,2,3,"43090.84601",1,0,13,13,2,1,1.33,26,20,0.8133921950896786
535,"21.12.2017","20:42:20",1,"",21,1,1,NA,NA,NA,4,1,"",5,"",2,"evangelisch",276,1,1,1,1,2,4,7,1,7,1,1,1,1,1,1,1,1,1,"1.888888889",3,1,5,4,2,4,4,4,4,2,2,4,2,1,5,3,1,1,2,3,3,"",2,2,3,2,2,3,3,3,3,3,2,"43090.88083",1,0,13,13,2,1,0.35,0,23,0.7728932036458139
536,"21.12.2017","21:30:21",2,"",21,1,2,6,NA,4,NA,1,"",5,"",1,"",276,1,1,1,1,5,2,5,1,6,7,3,2,4,1,4,1,1,1,"2.611111111",4,1,5,1,5,4,4,2,1,5,1,5,4,1,3,2,1,1,3,4,4,"",2,3,4,3,3,4,3,3,3,3,3,"43090.90225",1,0,13,13,2,1,1.42,30,19,0.6771589010967883
538,"21.12.2017","22:40:17",1,"",21,1,1,NA,NA,NA,5,1,"",5,"",1,"",276,6,6,4,4,7,5,5,4,5,5,4,4,5,5,3,4,4,6,"4.777777778",4,3,3,3,3,4,4,3,3,3,4,2,4,1,1,1,1,1,3,4,4,"",2,3,2,3,3,2,3,3,2,3,3,"43090.94829",1,0,13,13,2,1,1.94,83,25,0.6729552714699029
541,"21.12.2017","23:13:14",1,"",18,1,2,1,NA,4,NA,1,"",5,"",2,"evangelisch",276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1",3,2,4,4,2,4,3,2,4,2,1,5,2,1,7,4,1,1,2,4,3,"Ich weiß es wirklich nicht... ",2,3,4,3,1,3,2,3,3,1,3,"43090.97419",1,0,13,13,0,0,1.25,19,26,0.6823182923482232
542,"21.12.2017","23:38:57",1,"",27,1,3,NA,3,2,NA,1,"",6,"",1,"",276,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,"1.333333333",3,1,5,3,3,4,4,4,4,2,4,2,2,1,4,4,1,2,3,4,4,"Diese Studie beschäftigt sich mit Auswirkungen des Konsums erotischer Bilder.",2,3,3,3,3,3,3,3,3,3,3,"43090.99045",1,0,13,13,0,0,1.28,15,24,0.6649220791986078
551,"22.12.2017","09:41:01",1,"",24,1,3,NA,3,2,NA,1,"",7,"",2,"katholisch",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,3,3,4,2,4,3,2,4,2,4,2,1,2,NA,NA,NA,1,2,4,3,"keine Ahnung",2,3,3,3,2,3,3,3,3,2,3,"43091.40872",1,0,13,13,0,0,0.84,3,30,0.732187600174157
564,"22.12.2017","15:51:31",3,"bigender",21,1,1,NA,NA,NA,5,6,"pansexuell",5,"",1,"",276,1,1,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,"1.666666667",5,1,5,3,3,3,3,1,4,2,2,4,2,1,5,3,3,3,3,4,4,"Auswirkung von erotischen Bildern/Medien auf Motivation/Selbstvertrauen",2,3,3,3,2,2,3,2,2,2,3,"43091.6672",1,0,13,13,0,0,1.38,23,26,0.7443774811110501
568,"22.12.2017","18:17:30",1,"",28,1,1,NA,NA,NA,5,1,"",7,"",2,"Christentum",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,1,4,4,3,"wie stark die Pornographie das Leben beeinflusst",2,4,4,4,3,3,3,4,3,3,3,"43091.76675",1,0,13,13,0,0,1.24,15,23,0.7095128099281909
570,"22.12.2017","19:13:16",1,"",25,1,1,NA,NA,NA,5,1,"",7,"",2,"Christentum",380,2,1,1,2,5,3,2,1,1,6,1,2,1,1,4,1,1,2,"2.055555556",2,1,5,5,1,4,4,4,3,3,2,4,1,1,5,3,1,1,3,4,4,"Um den Zusammenhang von Pornographie und der eigenen Zuversicht/dem Glauben an sich selbst in schwierigen Situationen ",2,3,3,3,3,4,4,4,4,4,4,"43091.80861",1,0,13,13,0,0,0.84,2,24,0.6913136770904061
572,"22.12.2017","22:41:31",2,"",19,1,1,NA,NA,NA,4,1,"",5,"",2,"Christentum",276,2,3,4,5,6,4,7,4,6,7,2,4,5,3,5,2,6,5,"4.444444444",3,3,3,5,1,2,1,1,4,2,3,3,2,1,2,3,1,1,3,4,3,"Erforschung des Einflusses der Darbietung pornographischen Materials auf das Selbstbild.",2,3,2,3,1,2,3,3,2,2,3,"43091.9534",1,0,13,13,0,0,0.85,3,20,0.6228968973960881
578,"23.12.2017","20:35:12",1,"",18,1,1,NA,NA,NA,4,1,"",5,"",2,"Christentum",276,1,1,1,1,1,1,3,1,1,3,1,1,1,1,2,1,1,5,"1.5",4,1,5,3,3,4,3,3,2,4,2,4,4,1,5,5,1,1,2,3,3,"",2,3,3,2,2,3,2,3,2,2,2,"43092.86279",1,0,13,13,2,1,1.5,26,30,0.6831560356358344
579,"23.12.2017","20:49:01",1,"",25,1,1,NA,NA,NA,5,2,"",7,"",1,"",276,1,1,1,2,7,5,4,1,3,6,1,1,1,1,1,1,1,2,"2.222222222",3,1,5,5,1,3,3,3,4,2,2,4,1,1,7,3,2,3,2,4,4,"... geschlechterrollen? einfluss von pornographie auf unser selbstbild? scham?? soziale normen?",2,3,3,3,2,3,3,4,3,2,4,"43092.88242",1,0,13,13,0,0,0.74,1,28,0.7228057518780221
591,"25.12.2017","15:52:38",1,"",35,1,1,NA,NA,NA,3,2,"",8,"Dr.",1,"",276,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,"1.333333333",4,1,5,2,4,5,3,3,3,3,3,3,2,1,7,4,3,3,3,4,4,"Macht Erregung optimistischer?",2,2,3,3,1,1,2,3,2,3,3,"43094.66869",1,0,13,13,0,0,0.88,2,22,0.6761990548419786
592,"25.12.2017","16:52:07",1,"",24,1,3,NA,2,4,NA,1,"",5,"",1,"",276,1,1,1,1,1,1,1,1,5,4,1,1,7,1,1,1,3,1,"1.833333333",2,1,5,4,2,5,5,4,3,3,3,3,1,1,7,4,1,1,3,4,4,"",2,4,3,3,2,3,2,3,3,2,3,"43094.70819",1,0,13,13,2,1,1.25,21,30,0.7448865886327999
593,"26.12.2017","20:08:25",1,"",21,1,3,NA,1,2,NA,1,"",5,"",1,"",276,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,"1.333333333",3,1,5,4,2,4,4,1,5,1,1,5,1,1,5,5,3,3,3,4,4,"",2,3,3,3,1,1,2,2,2,1,1,"43095.84558",1,0,13,13,2,1,1.45,24,29,0.8079047500171609
594,"26.12.2017","20:28:49",2,"",29,1,2,10,NA,4,NA,1,"",7,"",1,"",276,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,"1.222222222",4,1,5,2,4,5,3,3,2,4,2,4,1,1,5,4,1,1,1,4,4,"Einfluss stimulierender Bilder auf die Psyche",2,3,4,2,3,2,3,2,2,3,3,"43095.86069",1,0,13,13,0,0,0.83,1,25,0.8051059867118625
596,"27.12.2017","02:09:35",1,"",23,1,1,NA,NA,NA,4,3,"",5,"",1,"",8,1,1,1,1,7,7,7,2,2,4,1,1,1,1,1,1,1,1,"2.277777778",2,2,4,4,2,3,2,1,5,1,3,3,4,1,7,4,1,3,4,4,4,"",2,4,3,3,3,3,4,4,3,3,4,"43096.09649",1,0,13,13,2,1,1.3,20,28,0.8585690626180459
598,"28.12.2017","13:10:47",1,"",24,1,1,NA,NA,NA,5,6,"Pansexuell",5,"",2,"röm. katholisch",276,3,1,1,2,5,3,1,1,6,7,1,1,1,1,1,3,1,5,"2.444444444",3,1,5,1,5,5,5,4,1,5,1,5,3,1,5,3,2,2,3,4,4,"Pornografiekonsum in Hinblick auf Selbstvertrauen",2,4,4,3,2,3,4,4,4,3,4,"43097.55664",1,0,13,13,0,0,0.92,6,26,0.8766310867666235
602,"28.12.2017","15:27:01",2,"",23,1,2,24,NA,2,NA,1,"",7,"",2,"römisch katholisch ",276,1,1,1,1,7,1,1,1,7,7,1,2,1,3,5,1,6,6,"2.944444444",5,1,5,1,5,5,4,1,1,5,1,5,4,1,3,4,1,3,3,4,4,"",2,4,3,2,3,4,4,3,2,4,4,"43097.65881",1,0,13,13,2,1,1,8,24,0.8529495175291495
605,"28.12.2017","22:25:17",1,"",25,1,1,NA,NA,NA,5,6,"pansexuelle Lesbe",7,"",1,"",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,4,2,5,1,2,1,1,5,1,3,3,1,2,NA,NA,NA,1,2,4,4,"",2,3,4,3,3,4,3,3,4,4,3,"43097.94031",1,0,13,13,3,2,0.84,6,32,0.9964337449540034
606,"28.12.2017","22:38:49",2,"",34,1,2,1,NA,4,NA,1,"",6,"",2,"römisch/katholisch",276,2,1,1,1,4,3,5,1,1,7,1,5,2,1,1,1,2,5,"2.444444444",4,1,5,1,5,4,4,4,5,1,2,4,4,1,3,3,1,1,NA,NA,NA,"",2,2,3,2,1,2,3,3,NA,2,3,"43097.95381",0,0,12,12,2,2,0.56,0,26,1.0204019946874474
608,"28.12.2017","23:15:33",1,"",22,1,2,14,NA,4,NA,1,"",5,"",1,"",276,1,1,1,1,1,2,3,1,6,6,1,1,1,1,1,1,1,5,"1.944444444",4,1,5,3,3,5,4,4,2,4,1,5,4,1,7,4,1,1,3,4,4,"",2,3,3,1,3,3,3,3,3,3,4,"43097.97396",1,0,13,13,2,1,1.53,27,26,1.0456735909826167
610,"29.12.2017","09:23:18",1,"",24,1,1,NA,NA,NA,6,2,"",7,"",1,"",276,5,1,1,2,7,7,5,1,5,5,1,1,1,1,1,1,2,2,"2.722222222",1,5,1,5,1,1,1,1,5,1,4,2,1,1,7,3,3,3,3,4,4,"",2,4,4,3,3,4,3,4,4,3,4,"43098.39712",1,0,13,13,2,1,1.08,9,26,1.0723266005065866
613,"29.12.2017","11:28:22",2,"",22,1,3,NA,3,2,NA,1,"",5,"",1,"",276,1,4,1,1,4,4,7,1,4,5,1,1,1,1,1,1,1,1,"2.222222222",5,1,5,3,3,5,5,5,3,3,3,3,1,1,3,5,1,1,1,4,4,"Eine Mischung aus Pornografiesucht, ob durch Pornografie das Selbstbewusstsein gestärkt wird und wie das Vorhandensein von Alltagsaufgaben (durch die nicht pornografischen Bilder) das ganze beeinflussen.",2,3,4,4,3,4,3,4,4,3,3,"43098.48499",1,0,13,13,0,0,1.44,26,30,1.2193858263284183
614,"29.12.2017","11:30:08",1,"",22,1,3,NA,3,2,NA,3,"",5,"",1,"",276,2,2,1,2,1,1,2,1,2,6,2,1,1,1,3,2,1,2,"1.833333333",4,2,4,3,3,4,4,4,3,3,2,4,2,1,5,3,3,3,3,4,4,"",2,3,3,3,2,2,3,3,2,3,3,"43098.48576",1,0,13,13,2,1,0.95,6,27,1.2911970944373656
616,"29.12.2017","13:09:20",1,"",19,1,1,NA,NA,NA,3,1,"",4,"",1,"",276,1,1,1,1,7,6,7,1,4,7,1,1,1,1,7,1,1,1,"2.777777778",3,1,5,4,2,5,3,4,4,2,2,4,2,1,3,3,1,1,4,4,4,"Umgang mit pornografischen Mitteln im Internet ",2,3,3,3,2,3,4,3,3,3,2,"43098.55382",1,0,13,13,0,0,1.16,14,26,1.3302617347176837
617,"29.12.2017","13:18:18",1,"",22,1,3,NA,3,2,NA,1,"",5,"",1,"",276,1,1,1,1,4,4,7,1,1,7,1,1,1,1,1,1,1,1,"2",4,1,5,4,2,3,2,2,5,1,4,2,1,1,7,3,3,3,3,4,4,"Um den Einfluss von Pornokonsum (exzessiv und suchthaft bzw. mäßig oder kaum) auf sein Selbstvertrauen und Ego und Laune",2,4,4,3,1,2,3,4,4,3,3,"43098.56015",1,0,13,13,0,0,1.43,24,22,1.2043743799806543
618,"29.12.2017","13:29:14",1,"",21,1,3,NA,1,2,NA,1,"",5,"",1,"",276,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,"4.777777778",3,3,3,3,3,3,3,3,3,3,3,3,3,1,7,5,1,1,3,3,3,"",2,3,3,3,3,3,3,3,3,3,3,"43098.56514",1,0,13,13,2,1,2.16,85,25,1.202867857170516
621,"29.12.2017","14:24:59",1,"",20,1,2,7,NA,2,NA,1,"",5,"",2,"Christentum",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,3,4,2,3,1,1,4,2,1,5,3,2,NA,NA,NA,1,3,4,3,"Zusammenhang Pornographie mit Selbstbewusstsein",2,3,3,2,3,3,2,3,3,2,3,"43098.60448",1,0,13,13,0,0,1.44,22,27,1.2736895486348798
624,"29.12.2017","15:38:01",2,"",23,1,1,NA,NA,NA,4,1,"",7,"",1,"",276,2,3,1,3,5,4,5,2,5,6,3,7,1,3,2,1,3,4,"3.333333333",4,1,5,3,3,4,4,3,4,2,2,4,4,1,3,3,1,1,2,4,3,"",2,4,3,3,2,2,3,3,3,3,3,"43098.65674",1,0,13,13,2,1,1.16,10,18,1.0151923012159387
626,"29.12.2017","16:29:58",2,"",25,1,1,NA,NA,NA,5,1,"",7,"",1,"",276,3,1,1,4,5,5,5,1,3,7,5,6,5,6,4,1,4,3,"3.833333333",4,1,5,2,4,3,4,4,3,3,3,3,3,1,3,5,1,3,3,4,3,"",2,3,4,3,2,3,3,4,3,2,4,"43098.69363",1,0,13,13,2,1,1.13,12,29,1.120136973611556
627,"29.12.2017","16:36:32",1,"",21,1,2,11,NA,4,NA,3,"",5,"",1,"",276,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,"1.111111111",2,2,4,4,2,4,3,3,1,5,1,5,1,1,7,3,1,1,3,4,4,"Zusammenhang von subjektiv erlebten Selbstwert und dem Konsum von Pornographischen Material. Vor und nach dem ""priming"" (Bilder-Sequenzen). ",2,3,3,4,2,4,3,3,3,2,3,"43098.6978",1,0,13,13,0,0,1.1,11,29,1.242704832975219
629,"29.12.2017","19:22:09",2,"",45,2,3,NA,7,2,NA,1,"",7,"",1,"",276,1,1,1,1,4,4,1,1,5,5,1,4,3,2,2,1,1,1,"2.166666667",4,1,5,4,2,4,4,2,4,2,4,2,1,1,5,4,1,1,2,4,3,"Einfluss von Pornographie auf Alltag oder Urteilskraft im Alltag",2,3,3,3,2,2,3,3,3,3,3,"43098.81325",1,0,13,13,0,0,1.08,7,28,1.3509671926076388
630,"29.12.2017","19:45:34",2,"",27,1,3,NA,3,2,NA,1,"",5,"",1,"",276,1,1,1,1,4,2,5,2,1,7,2,4,1,2,1,1,6,7,"2.722222222",2,1,5,1,5,4,4,4,4,2,2,4,1,1,3,4,1,3,2,4,4,"Auswirkung des Pornographiekonsums auf das Alltagsleben.
Da nach den Bilder einige bereits gestellte Fragen sich in abgeänderter Form wiederholt haben, vermutlich auch, auf die Selbsteinschätzung vor und nach dem Konsum von Pornographie.",2,3,3,2,3,3,3,3,3,3,3,"43098.83462",1,0,13,13,0,0,0.64,2,22,1.226848885753487
